Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
IHR,1/1/2022,27.53,0,0,25.9,5.56,,,,,11.11,438.85
IHR,1/2/2022,17.07,0,0,16.6,5,,,,,10.8,438.57
IHR,1/3/2022,19.18,0,0,19.2,4.44,,,,,10.8,438.8
IHR,1/4/2022,24.95,0,0,23.5,4.44,,,,,10.8,438.59
IHR,1/5/2022,21.7,0,0,23.1,4.44,,,,,10.8,438.56
IHR,1/6/2022,18.74,0,0,18.6,4.44,,,,,10.8,438.64
IHR,1/7/2022,22.16,0,0,24.2,4.44,,,,,10.8,438.89
IHR,1/8/2022,26.6,0,0,28,4.44,,,,,10.8,439.13
IHR,1/9/2022,27.9,0,0,26.5,3.89,,,,,10.8,439.15
IHR,1/10/2022,24.95,0,0,23.7,3.89,,,,,10.8,439.11
IHR,1/11/2022,26.53,0,0,27.5,3.89,,,,,10.8,439.18
IHR,1/12/2022,25.57,0,0,25.2,3.89,,,,,10.8,439.26
IHR,1/13/2022,27.89,0,0,28.5,3.33,,,,,10.8,438.92
IHR,1/14/2022,29.96,0,0,29.6,3.33,,,,,10.8,439.09
IHR,1/15/2022,24.56,0,0,24.7,3.33,,,,,10.8,439.15
IHR,1/16/2022,24.39,0,0,24.8,3.33,,,,,10.9,439.21
IHR,1/17/2022,30.09,0,0,28.3,3.33,,,,,10.9,438.95
IHR,1/18/2022,29.4,0,0,28.6,3.33,,,,,10.9,438.73
IHR,1/19/2022,25.23,0,0,26,3.33,,,,,12,438.56
IHR,1/20/2022,27.84,0,0,28.7,3.33,,,,,12,438.79
IHR,1/21/2022,30.18,0,0,32.1,3.33,,,,,12,439.2
IHR,1/22/2022,36.25,0,0,33.5,3.33,,,,,12,438.88
IHR,1/23/2022,32.88,0,0,32.6,3.33,,,,,12,438.67
IHR,1/24/2022,31.9,0,0,33.1,3.33,,,,,12,438.71
IHR,1/25/2022,33.35,0,0,34.7,3.33,,,,,12,438.69
IHR,1/26/2022,29.07,0,0,29.9,3.33,,,,,12,439.21
IHR,1/27/2022,34.02,0,0,33.5,2.78,,,,,12,438.99
IHR,1/28/2022,32.29,0,0,30.4,2.78,,,,,12,439
IHR,1/29/2022,22.42,0,0,25.1,2.78,,,,,12,439.07
IHR,1/30/2022,33.63,0,0,32.4,2.78,,,,,12,439.2
IHR,1/31/2022,23.43,0,0,24.1,2.78,,,,,12,439.14
IHR,2/1/2022,32.7,0,0,31.6,2.78,,,,,12,439.03
IHR,2/2/2022,30.92,0,0,28.3,,,,,,,438.75
IHR,2/3/2022,26.47,0,0,28.4,2.78,,,,,12,438.63
IHR,2/4/2022,29.19,0,0,28.3,2.78,,,,,12,438.75
IHR,2/5/2022,26.48,0,0,28.5,2.78,,,,,12,438.88
IHR,2/6/2022,19.86,0,0,19,2.78,,,,,12,439
IHR,2/7/2022,28.56,0,0,26.2,2.78,,,,,12,438.91
IHR,2/8/2022,25.14,0,0,26,2.78,,,,,12,438.68
IHR,2/9/2022,25.1,0,0,26.4,2.78,,,,,12,438.75
IHR,2/10/2022,26,0,0,26,3.33,,,,,10,438.93
IHR,2/11/2022,24.12,0,0,24.4,3.33,,,,,10,439.07
IHR,2/12/2022,20.67,0,0,20.8,3.33,,,,,10,439.22
IHR,2/13/2022,23.94,0,0,25.3,3.33,,,,,10,439.09
IHR,2/14/2022,26.45,0,0,26.1,3.89,,,,,10,439.76
IHR,2/15/2022,32.56,0,0,29.2,3.89,,,,,10,438.93
IHR,2/16/2022,27.91,0,0,23.6,3.89,,,,,10,438.99
IHR,2/17/2022,27.27,0,0,20.9,3.89,,,,,10,438.77
IHR,2/18/2022,27.55,0,0,29.7,3.89,,,,,10,438.57
IHR,2/19/2022,24.95,0,0,23.5,3.89,,,,,10,438.7
IHR,2/20/2022,20.77,0,0,21.9,3.89,,,,,10,438.62
IHR,2/21/2022,22.78,0,0,21.6,4.44,,,,,10,438.65
IHR,2/22/2022,27.52,0,0,29.6,,,,,,,438.77
IHR,2/23/2022,20.93,0,0,20.4,4.44,,,,,10,439.09
IHR,2/24/2022,20.39,0,0,20,3.33,,,,,10,438.83
IHR,2/25/2022,21.32,0,0,22.5,3.33,,,,,10,438.96
IHR,2/26/2022,22.98,0,0,21.8,3.33,,,,,10,439.07
IHR,2/27/2022,17.76,0,0,19.1,3.33,,,,,7.1,439.09
IHR,2/28/2022,22.09,0,0,21,3.89,,,,,11.2,438.97
IHR,3/1/2022,30.88,0,0,28.9,3.89,,,,,9.6,438.59
IHR,3/2/2022,38.87,1.63,4.2,40.9,3.89,,,,,9.6,438.51
IHR,3/3/2022,54.2,0,0,50.8,3.89,,,,,9.6,437.75
IHR,3/4/2022,50.36,1.39,2.76,56.9,3.89,,,,,9.6,438.42
IHR,3/5/2022,45.73,0,0,41.5,3.89,,,,,9.6,438.74
IHR,3/6/2022,40.08,1.65,4.13,42.2,3.89,,,,,9.6,438.92
IHR,3/7/2022,37.45,0,0,37,4.44,,,,,9.6,438.69
IHR,3/8/2022,37.08,0,0,38.5,4.44,,,,,9.6,439.12
IHR,3/9/2022,34.9,1.6,4.57,34,4.44,,,,,9.6,439
IHR,3/10/2022,27.93,0,0,31.9,4.44,,,,,5,438.81
IHR,3/11/2022,39.75,1.84,4.63,36.5,4.44,,,,,4,439.8
