Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Tailwater Elevation (ft)
IDSW,1/1/2022,27.53,0,0,25.9,,3.83,762.02,707.42,92.83,,339.81
IDSW,1/2/2022,17.07,0,0,16.6,,3.53,755.21,706.79,93.59,,338.48
IDSW,1/3/2022,19.18,0,0,19.2,,3.31,743.48,704.83,94.8,,338.84
IDSW,1/4/2022,24.95,0,0,23.5,,3.21,752.53,706.04,93.82,,340.32
IDSW,1/5/2022,21.7,0,0,23.1,,3.13,756.29,708.33,93.66,,339.96
IDSW,1/6/2022,18.74,0,0,18.6,,3.07,748.35,711,95.01,,339.95
IDSW,1/7/2022,22.16,0,0,24.2,,3.12,740.18,711.42,96.12,,340.26
IDSW,1/8/2022,26.6,0,0,28,,3.16,757.44,714.33,94.31,,340.33
IDSW,1/9/2022,27.9,0,0,26.5,,3.25,764.9,716.46,93.67,,340.35
IDSW,1/10/2022,24.95,0,0,23.7,,3.25,765.74,716.25,93.54,,339.63
IDSW,1/11/2022,26.53,0,0,27.5,,3.28,761.29,718.17,94.34,,339.89
IDSW,1/12/2022,25.57,0,0,25.2,,3.29,757.67,719.5,94.96,,340.01
IDSW,1/13/2022,27.89,0,0,28.5,,3.18,758.61,720.42,94.97,,340.3
IDSW,1/14/2022,29.96,0,0,29.6,,3.11,766.65,720.83,94.02,,340.38
IDSW,1/15/2022,24.56,0,0,24.7,,3.07,763.28,721.63,94.54,,339.97
IDSW,1/16/2022,24.39,0,0,24.8,,3.06,760.92,721.88,94.87,,340.15
IDSW,1/17/2022,30.09,0,0,28.3,,3.03,754.92,723.79,95.88,,340.42
IDSW,1/18/2022,29.4,0,0,28.6,,2.95,755.97,725.21,95.93,,340.51
IDSW,1/19/2022,25.23,0,0,26,,2.87,762.26,726.92,95.36,,339.96
IDSW,1/20/2022,27.84,0,0,28.7,,2.82,758.53,728.46,96.04,,339.83
IDSW,1/21/2022,30.18,0,0,32.1,,2.8,765.19,731.54,95.6,,340.29
IDSW,1/22/2022,36.25,0,0,33.5,,2.8,767.01,733.75,95.66,,340.7
IDSW,1/23/2022,32.88,0,0,32.6,,2.83,764.08,735.04,96.2,,340.53
IDSW,1/24/2022,31.9,0,0,33.1,,2.83,761.59,736,96.64,,340.79
IDSW,1/25/2022,33.35,0,0,34.7,,2.77,764.11,737.17,96.47,,340.88
IDSW,1/26/2022,29.07,0,0,29.9,,2.67,764.07,736.29,96.37,,341.04
IDSW,1/27/2022,34.02,0,0,33.5,,2.56,769.73,737.79,95.85,,341.19
IDSW,1/28/2022,32.29,0,0,30.4,,2.6,767.24,740.92,96.57,,340.32
IDSW,1/29/2022,22.42,0,0,25.1,,2.72,763.38,746.46,97.78,,339.43
IDSW,1/30/2022,33.63,0,0,32.4,,2.76,756.29,748.17,98.93,,340.9
IDSW,1/31/2022,23.43,0,0,24.1,,2.89,756.47,751.79,99.38,,340.22
IDSW,2/1/2022,32.7,0,0,31.6,,2.93,758.98,751.13,98.97,,340.76
IDSW,2/2/2022,30.92,0,0,28.3,,2.96,762.09,750.71,98.51,,340.59
IDSW,2/3/2022,26.47,0,0,28.4,,3,763.25,751.58,98.47,,340.08
IDSW,2/4/2022,29.19,0,0,28.3,,3.01,762.67,750.13,98.36,,340.34
IDSW,2/5/2022,26.48,0,0,28.5,,3.09,763.89,752.63,98.53,,339.92
IDSW,2/6/2022,19.86,0,0,19,,3.12,764.13,754.08,98.69,,339.56
IDSW,2/7/2022,28.56,0,0,26.2,,3.17,760.57,753.67,99.09,,340.44
IDSW,2/8/2022,25.14,0,0,26,,3.31,764.72,756.96,98.99,,339.73
IDSW,2/9/2022,25.1,0,0,26.4,,3.48,763.25,757.63,99.26,,339.3
IDSW,2/10/2022,26,0,0,26,,3.65,759.54,759.13,99.95,,339.56
IDSW,2/11/2022,24.12,0,0,24.4,,3.77,763.85,761.13,99.64,,339.42
IDSW,2/12/2022,20.67,0,0,20.8,,3.81,763.45,760.79,99.65,,339.33
IDSW,2/13/2022,23.94,0,0,25.3,,3.86,758.99,760.71,100.23,,339.84
IDSW,2/14/2022,26.45,0,0,26.1,,3.95,749.63,760.88,101.5,,340.32
IDSW,2/15/2022,32.56,0,0,29.2,,4.07,753.5,762.17,101.15,,340.66
IDSW,2/16/2022,27.91,0,0,23.6,,4.19,757.06,763.63,100.87,,340.26
IDSW,2/17/2022,27.27,0,0,20.9,,4.21,759.84,762.92,100.41,,340.55
IDSW,2/18/2022,27.55,0,0,29.7,,4.28,759.5,763.83,100.57,,340.48
IDSW,2/19/2022,24.95,0,0,23.5,,4.35,751.95,763.67,101.56,,340.45
