Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Tailwater Elevation (ft)
LGSW,1/1/2022,21.98,0,0,19.5,,4.11,756.71,706.33,93.34,,539.04
LGSW,1/2/2022,19.18,0,0,20.7,,3.88,749.56,705.29,94.1,,538.45
LGSW,1/3/2022,17.4,0,0,15.8,,3.7,737.88,705.79,95.65,,538.97
LGSW,1/4/2022,22.04,0,0,20.9,,3.46,747.23,706.92,94.6,,538.86
LGSW,1/5/2022,21.99,0,0,21.8,,3.3,750.48,709.58,94.55,,538.72
LGSW,1/6/2022,17.22,0,0,19.9,,3.11,742.67,712.13,95.89,,538.97
LGSW,1/7/2022,21.15,0,0,20.7,,3.08,734.89,714.88,97.28,,539.11
LGSW,1/8/2022,23.21,0,0,24.2,,2.98,752.15,718.38,95.51,,538.63
LGSW,1/9/2022,25.47,0,0,25.2,,2.94,759.38,720.17,94.84,,538.33
LGSW,1/10/2022,21.42,0,0,21.7,,2.94,760.1,721.79,94.96,,538.71
LGSW,1/11/2022,24.05,0,0,27.8,,3,755.65,722.79,95.65,,538.52
LGSW,1/12/2022,24.85,0,0,22,,3.07,752.47,723.75,96.18,,538.82
LGSW,1/13/2022,25.23,0,0,24.2,,3.07,752.98,723.75,96.12,,539.08
LGSW,1/14/2022,23.83,0,0,23.2,,2.99,760.69,723.13,95.06,,538.98
LGSW,1/15/2022,22.92,0,0,21.2,,2.87,757.59,723.92,95.56,,538.79
LGSW,1/16/2022,21.03,0,0,24.9,,2.69,755.24,724.33,95.91,,538.76
LGSW,1/17/2022,26.63,0,0,24.4,,2.52,749.24,727.54,97.11,,538.74
LGSW,1/18/2022,23.87,0,0,24.3,,2.44,750.12,730.21,97.35,,539.12
LGSW,1/19/2022,25.64,0.43,1.69,27.5,,2.54,756.36,734.46,97.1,,538.36
LGSW,1/20/2022,27.15,0,0,27.3,,2.78,752.55,736.67,97.89,,538.35
LGSW,1/21/2022,31.21,0,0,31,,2.96,759.68,738.42,97.2,,538.69
LGSW,1/22/2022,31.28,0,0,32.1,,3.1,761.22,739.5,97.15,,539.01
LGSW,1/23/2022,30.08,0,0,30.3,,3.17,758.39,740.83,97.69,,539.18
LGSW,1/24/2022,30.25,0,0,28.1,,3.16,755.81,742.54,98.24,,539.02
LGSW,1/25/2022,32.73,0,0,36.1,,3.17,758.22,744.46,98.19,,538.86
LGSW,1/26/2022,30.77,0,0,27.9,,3.27,758.28,747.29,98.55,,539.03
LGSW,1/27/2022,32.05,0,0,32.5,,3.42,763.88,747.13,97.81,,539.34
LGSW,1/28/2022,30.36,0,0,31,,3.51,761.81,746.04,97.93,,539.05
LGSW,1/29/2022,24.89,0,0,27.2,,3.53,757.88,744.96,98.3,,539.21
LGSW,1/30/2022,30.45,0,0,27,,3.49,750.75,743.83,99.08,,539.06
LGSW,1/31/2022,24.69,0,0,26.8,,3.49,750.53,744.46,99.19,,539.45
LGSW,2/1/2022,28.17,0,0,29,,3.43,753.37,742.88,98.61,,538.95
LGSW,2/2/2022,29.06,0,0,27.1,,3.34,756.73,741.38,97.97,,538.98
LGSW,2/3/2022,27.86,0,0,27.2,,3.35,757.7,741.13,97.81,,539.22
LGSW,2/4/2022,26.75,0,0,26.9,,3.33,757.18,740.5,97.8,,539.12
LGSW,2/5/2022,26.33,0,0,24.2,,3.37,758.83,741.33,97.69,,539.26
LGSW,2/6/2022,19.82,0,0,21.6,,3.34,759.07,741.75,97.72,,539.15
LGSW,2/7/2022,24.63,0,0,25.5,,3.33,755.27,742.42,98.3,,539.24
LGSW,2/8/2022,25.53,0,0,25.7,,3.35,759.75,744.08,97.94,,538.97
LGSW,2/9/2022,24.5,0,0,25.4,,3.36,758.38,746.5,98.43,,539.18
