Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
LWG,1/1/2022,20.83,0,0,18.7,,,,,,,736.69
LWG,1/2/2022,21.15,0,0,22.3,,,,,,,736.71
LWG,1/3/2022,18.1,0,0,17.5,,,,,,,736.63
LWG,1/4/2022,19.66,0,0,20.4,,,,,,,736.92
LWG,1/5/2022,23.54,0,0,22.5,,,,,,,736.76
LWG,1/6/2022,20.51,0,0,22.6,,,,,,,736.61
LWG,1/7/2022,25.39,0,0,23.8,,,,,,,737.07
LWG,1/8/2022,24.64,0,0,25.5,,,,,,,736.99
LWG,1/9/2022,27.94,0,0,26.1,,,,,,,736.77
LWG,1/10/2022,24.13,0,0,26.2,,,,,,,736.76
LWG,1/11/2022,28.55,0,0,28,,,,,,,737.01
LWG,1/12/2022,25.16,0,0,25.7,,,,,,,736.86
LWG,1/13/2022,27.7,0,0,26,,,,,,,736.69
LWG,1/14/2022,25,0,0,25.4,,,,,,,736.69
LWG,1/15/2022,23.28,0,0,25.3,,,,,,,737.04
LWG,1/16/2022,26.59,0,0,25.4,,,,,,,737.05
LWG,1/17/2022,26.83,0,0,26.2,,,,,,,737.03
LWG,1/18/2022,25.81,0,0,26.3,,,,,,,737.06
LWG,1/19/2022,28.23,0,0,27.2,,,,,,,736.99
LWG,1/20/2022,28,0,0,28.2,,,,,,,736.82
LWG,1/21/2022,31.27,0,0,32,,,,,,,736.96
LWG,1/22/2022,31.93,0,0,32.1,,,,,,,737
LWG,1/23/2022,30.8,0,0,30.4,,,,,,,736.96
LWG,1/24/2022,29.55,0,0,30.4,,,,,,,736.96
LWG,1/25/2022,33.23,0,0,32,,,,,,,737.13
LWG,1/26/2022,30.1,0,0,31.6,,,,,,,736.97
LWG,1/27/2022,32.15,0,0,32.5,,,,,,,737.16
LWG,1/28/2022,31.77,0,0,30,,,,,,,736.77
LWG,1/29/2022,26.7,0,0,27.6,,,,,,,736.98
LWG,1/30/2022,28.65,0,0,27.1,,,,,,,736.76
LWG,1/31/2022,26.21,0,0,26.9,,,,,,,736.62
LWG,2/1/2022,29.28,0,0,28.5,,,,,,,736.7
LWG,2/2/2022,27.47,0,0,28.3,,,,,,,736.54
LWG,2/3/2022,27.61,0,0,28.6,,,,,,,736.65
LWG,2/4/2022,27.85,0,0,27.4,,,,,,,736.75
LWG,2/5/2022,24.49,0,0,24.8,,,,,,,736.91
LWG,2/6/2022,23.41,0,0,23.7,,,,,,,736.95
LWG,2/7/2022,25.62,0,0,24.4,,,,,,,736.92
LWG,2/8/2022,25.43,0,0,26.1,,,,,,,736.63
LWG,2/9/2022,27.45,0,0,27,,,,,,,736.72
LWG,2/10/2022,26.56,0,0,25.6,,,,,,,736.65
LWG,2/11/2022,23.79,0,0,24.8,,,,,,,736.45
LWG,2/12/2022,24.69,0,0,25.3,,,,,,,736.91
LWG,2/13/2022,24.39,0,0,25,,,,,,,736.93
LWG,2/14/2022,25.61,0,0,25.9,,,,,,,736.92
LWG,2/15/2022,29.8,0,0,27.2,,,,,,,736.96
LWG,2/16/2022,25.01,0,0,27.2,,,,,,,736.83
LWG,2/17/2022,26.58,0,0,26.3,,,,,,,737.08
LWG,2/18/2022,27.57,0,0,26.8,,,,,,,736.91
LWG,2/19/2022,23.98,0,0,24.6,,,,,,,736.98
LWG,2/20/2022,22.17,0,0,22.5,,,,,,,736.91
LWG,2/21/2022,21.73,0,0,22.2,,,,,,,736.96
LWG,2/22/2022,23.32,0,0,23.1,,,,,,,737.09
LWG,2/23/2022,23.77,0,0,22.3,,,,,,,736.7
LWG,2/24/2022,20.6,0,0,20.4,,,,,,,736.62
LWG,2/25/2022,21.46,0,0,21.4,,,,,,,736.53
