Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Tailwater Elevation (ft)
LGNW,1/1/2022,20.83,0,0,18.7,,3.78,753.79,721.83,95.76,,637.29
LGNW,1/2/2022,21.15,0,0,22.3,,3.56,746.17,719.79,96.47,,637.1
LGNW,1/3/2022,18.1,0,0,17.5,,3.38,735.96,717.54,97.5,,636.57
LGNW,1/4/2022,19.66,0,0,20.4,,3.17,744.65,718.42,96.48,,636.12
LGNW,1/5/2022,23.54,0,0,22.5,,2.93,747.55,718.21,96.08,,636.03
LGNW,1/6/2022,20.51,0,0,22.6,,2.62,740.1,719.38,97.2,,636.1
LGNW,1/7/2022,25.39,0,0,23.8,,2.41,732.55,721.04,98.43,,636.61
LGNW,1/8/2022,24.64,0,0,25.5,,2.14,749.57,724.79,96.7,,636.65
LGNW,1/9/2022,27.94,0,0,26.1,,2.04,757.15,726.92,96.01,,636.42
LGNW,1/10/2022,24.13,0,0,26.2,,1.94,757.28,731.46,96.59,,636.41
LGNW,1/11/2022,28.55,0,0,28,,2.15,753.2,735.54,97.66,,636.8
LGNW,1/12/2022,25.16,0,0,25.7,,2.69,750.53,738.5,98.4,,637.1
LGNW,1/13/2022,27.7,0,0,26,,2.9,750.02,739.33,98.58,,637.36
LGNW,1/14/2022,25,0,0,25.4,,3.06,757.77,741.08,97.8,,637.71
LGNW,1/15/2022,23.28,0,0,25.3,,2.97,754.53,742.46,98.4,,637.4
LGNW,1/16/2022,26.59,0,0,25.4,,2.85,752.18,744.42,98.97,,636.39
LGNW,1/17/2022,26.83,0,0,26.2,,2.85,746.11,747,100.12,,636.76
LGNW,1/18/2022,25.81,0,0,26.3,,2.91,747.2,751.71,100.6,,636.3
LGNW,1/19/2022,28.23,0,0,27.2,,3.23,753.36,754.21,100.11,,636.52
LGNW,1/20/2022,28,0,0,28.2,,3.56,749.71,753.33,100.48,,636.86
LGNW,1/21/2022,31.27,0,0,32,,3.74,756.91,753.67,99.57,,637.15
LGNW,1/22/2022,31.93,0,0,32.1,,3.67,758.43,753.42,99.34,,637.48
LGNW,1/23/2022,30.8,0,0,30.4,,3.57,755.18,753.17,99.73,,637.7
LGNW,1/24/2022,29.55,0,0,30.4,,3.59,752.87,752,99.89,,637.15
LGNW,1/25/2022,33.23,0,0,32,,3.73,755.15,751.75,99.55,,637.04
LGNW,1/26/2022,30.1,0,0,31.6,,3.85,755.35,752,99.56,,636.72
LGNW,1/27/2022,32.15,0,0,32.5,,3.78,760.94,751.75,98.79,,637.01
LGNW,1/28/2022,31.77,0,0,30,,3.59,758.81,751.46,99.03,,637.06
LGNW,1/29/2022,26.7,0,0,27.6,,3.5,754.91,752.58,99.69,,637.29
LGNW,1/30/2022,28.65,0,0,27.1,,3.38,748.02,750.33,100.31,,637.33
LGNW,1/31/2022,26.21,0,0,26.9,,3.34,747.65,748.92,100.17,,637.26
LGNW,2/1/2022,29.28,0,0,28.5,,3.44,750.51,748.46,99.73,,637.13
LGNW,2/2/2022,27.47,0,0,28.3,,3.57,754.18,747.5,99.11,,637.55
LGNW,2/3/2022,27.61,0,0,28.6,,3.44,755.24,747.04,98.91,,637.55
LGNW,2/4/2022,27.85,0,0,27.4,,3.26,754.13,748.25,99.22,,637.31
LGNW,2/5/2022,24.49,0,0,24.8,,3.09,755.92,749.88,99.2,,636.84
LGNW,2/6/2022,23.41,0,0,23.7,,3.05,756.54,750.58,99.21,,636.87
LGNW,2/7/2022,25.62,0,0,24.4,,3.04,752.3,750.83,99.8,,637.12
LGNW,2/8/2022,25.43,0,0,26.1,,3.01,757.2,756.58,99.92,,637.02
LGNW,2/9/2022,27.45,0,0,27,,3.02,755.9,758.46,100.34,,637.11
LGNW,2/10/2022,26.56,0,0,25.6,,3.04,751.79,760.25,101.13,,637.21
LGNW,2/11/2022,23.79,0,0,24.8,,3.19,755.9,760.63,100.62,,637.47
LGNW,2/12/2022,24.69,0,0,25.3,,3.33,755.38,761.71,100.84,,637.7
LGNW,2/13/2022,24.39,0,0,25,,3.57,750.98,763.5,101.67,,637.81
LGNW,2/14/2022,25.61,0,0,25.9,,3.75,741.83,764.33,103.03,,637.41
LGNW,2/15/2022,29.8,0,0,27.2,,3.85,745.32,763.83,102.48,,637.48
LGNW,2/16/2022,25.01,0,0,27.2,,3.96,748.61,765.33,102.24,,637.06
LGNW,2/17/2022,26.58,0,0,26.3,,4.04,752.12,764.42,101.64,,636.88
LGNW,2/18/2022,27.57,0,0,26.8,,4.1,752.27,762.13,101.31,,637.54
LGNW,2/19/2022,23.98,0,0,24.6,,4.03,744.01,760.79,102.26,,637.72
LGNW,2/20/2022,22.17,0,0,22.5,,3.87,740.15,759.63,102.63,,637.72
LGNW,2/21/2022,21.73,0,0,22.2,,3.77,741.32,756.96,102.11,,637.72
LGNW,2/22/2022,23.32,0,0,23.1,,3.66,750.77,756.29,100.74,,636.75
LGNW,2/23/2022,23.77,0,0,22.3,,3.51,754.67,750.13,99.4,,636.47
LGNW,2/24/2022,20.6,0,0,20.4,,3.5,755.5,749.54,99.21,,636.56
LGNW,2/25/2022,21.46,0,0,21.4,,3.44,758,750.42,99,,636.62
LGNW,2/26/2022,20.77,0,0,20.1,,3.43,754.31,750.83,99.54,,636.82
LGNW,2/27/2022,18.38,0,0,19.5,,3.55,751.39,752.54,100.15,,636.69
