Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Tailwater Elevation (ft)
LMNW,1/1/2022,25.65,0,0,23.5,,4.39,759.5,714.63,94.09,,439.18
LMNW,1/2/2022,18.17,0,0,20,,4.29,752.23,710.25,94.42,,438.87
LMNW,1/3/2022,18.85,0,0,20,,4.01,740.45,709.21,95.78,,439.06
LMNW,1/4/2022,24.81,0,0,22.7,,3.91,749.78,710,94.7,,439
LMNW,1/5/2022,23.23,0,0,24.1,,3.81,753.34,710.29,94.29,,438.95
LMNW,1/6/2022,18.03,0,0,18.6,,3.68,745.43,710.58,95.33,,438.93
LMNW,1/7/2022,24.9,0,0,22.7,,3.65,737.44,712.46,96.62,,439.28
LMNW,1/8/2022,32.35,0,0,26.6,,3.55,754.73,715.46,94.8,,439.43
LMNW,1/9/2022,26.65,0,0,28.1,,3.53,762.08,718.29,94.25,,439.28
LMNW,1/10/2022,24.15,0,0,24.1,,3.45,762.87,719.25,94.28,,439.24
LMNW,1/11/2022,27.71,0,0,26.2,,3.34,758.34,724.96,95.6,,439.33
LMNW,1/12/2022,25.07,0,0,28.1,,3.25,754.8,722.25,95.69,,439.36
LMNW,1/13/2022,27.68,0,0,28.8,,3.15,755.78,725.21,95.96,,439.17
LMNW,1/14/2022,28.98,0,0,25.6,,3.04,763.58,725.79,95.05,,439.3
LMNW,1/15/2022,25.19,0,0,26.1,,3,760.42,728.54,95.81,,439.26
LMNW,1/16/2022,24.41,0,0,24.1,,3,758,729.08,96.19,,439.32
LMNW,1/17/2022,28.18,0,0,29.7,,3.09,752,731.13,97.23,,439.21
LMNW,1/18/2022,28.02,0,0,26.2,,3.12,753.01,732.5,97.28,,439.06
LMNW,1/19/2022,25.89,0,0,26.4,,3.15,759.21,734.88,96.79,,438.96
LMNW,1/20/2022,28.56,0,0,28.6,,3.09,755.51,734.42,97.21,,439.1
LMNW,1/21/2022,31.18,0,0,33.3,,3,762.48,736.83,96.64,,439.41
LMNW,1/22/2022,34,0,0,34.2,,2.87,764.1,737.38,96.5,,439.25
LMNW,1/23/2022,31.9,0,0,32.3,,2.78,761.16,739.33,97.13,,439.07
LMNW,1/24/2022,33.24,0,0,30.7,,2.79,758.59,742.63,97.9,,439.13
LMNW,1/25/2022,33.42,0,0,36,,2.93,761.1,747.21,98.17,,439.13
LMNW,1/26/2022,30.32,0,0,29.8,,3,761.15,749.17,98.43,,439.38
LMNW,1/27/2022,31.81,0,0,32.3,,3.07,766.69,748.33,97.61,,439.27
LMNW,1/28/2022,31.09,0,0,29.2,,3.11,764.46,747.79,97.82,,439.28
LMNW,1/29/2022,23.47,0,0,26.4,,3.14,760.67,748.13,98.35,,439.24
LMNW,1/30/2022,32.26,0,0,29.6,,3.15,753.54,748.71,99.36,,439.38
LMNW,1/31/2022,23.08,0,0,25.4,,3.23,753.43,750.83,99.66,,439.37
LMNW,2/1/2022,30.35,0,0,27.9,,3.28,756.2,752.08,99.46,,439.27
LMNW,2/2/2022,28,0,0,29.3,,3.33,759.4,752.25,99.06,,439.04
LMNW,2/3/2022,28.23,0,0,27.6,,3.43,760.37,751.08,98.78,,439.01
LMNW,2/4/2022,27.56,0,0,27.6,,3.43,759.78,749.92,98.7,,439.09
LMNW,2/5/2022,27.42,0,0,27.4,,3.4,761.23,750.29,98.56,,439.17
LMNW,2/6/2022,19.64,0,0,19.7,,3.41,761.39,750.21,98.53,,439.13
LMNW,2/7/2022,25.38,0,0,26.3,,3.45,757.81,750.04,98.98,,439.14
LMNW,2/8/2022,26.47,0,0,25,,3.53,762.06,752.54,98.75,,438.94
LMNW,2/9/2022,25.35,0,0,25.5,,3.62,760.67,753.21,99.02,,439.06
LMNW,2/10/2022,26.15,0,0,25.4,,3.74,756.86,754.38,99.67,,439.16
LMNW,2/11/2022,24.65,0,0,26.4,,3.83,761.21,755.58,99.26,,439.25
LMNW,2/12/2022,20.57,0,0,18.7,,3.82,760.68,755.38,99.3,,439.28
LMNW,2/13/2022,25.78,0,0,26.5,,3.85,756.32,755.71,99.92,,439.27
