GroupDescription,MigrYr,SpeciesCode,RearCode,RaceCode,SAR_Reach,JuvPop,SARwoJacks,SARwoJacks_LCI,SARwoJacks_UCI,SARwJacks,SARwJacks_LCI,SARwJacks_UCI
"John Day River Wild Spring Chinook",2021,CH,W,Spr,"John Day Dam to Bonneville Dam",3316,2.38,1.42,3.52,2.59,1.54,3.84
"Yakima River Wild Spring Chinook",2021,CH,W,Spr,"McNary Dam to Bonneville Dam",1302,1.15,.54,1.99,1.46,.69,2.50
"Yakima River Wild Spring Chinook",2021,CH,W,Spr,"McNary Dam to McNary Dam",1302,1.08,.50,1.90,1.46,.70,2.49
"John Day River Wild Spring Chinook",2020,CH,W,Spr,"John Day Dam to Bonneville Dam",1628,4.24,2.97,5.56,5.10,3.55,6.59
"John Day River Wild Steelhead",2020,ST,W,Sum,"John Day Dam to Bonneville Dam",3531,,,,1.90,1.41,2.36
"Yakima River Wild Spring Chinook",2020,CH,W,Spr,"McNary Dam to Bonneville Dam",857,2.57,1.42,3.71,3.03,1.73,4.41
"Yakima River Wild Spring Chinook",2020,CH,W,Spr,"McNary Dam to McNary Dam",857,2.45,1.31,3.61,2.92,1.66,4.29
"Umatilla River Wild Steelhead",2020,ST,W,Sum,"John Day Dam to Bonneville Dam",5605,,,,2.46,2.04,2.94
"Yakima River Wild Steelhead",2020,ST,W,Sum,"McNary Dam to Bonneville Dam",319,,,,3.13,.49,5.20
"Yakima River Wild Steelhead",2020,ST,W,Sum,"McNary Dam to McNary Dam",319,,,,3.44,.55,5.64
"Deschutes River Wild Steelhead",2019,ST,W,Sum,"Bonneville Dam to Bonneville Dam",135,,,,.00,.00,2.19
"Hanford Reach Wild Fall Chinook",2019,CH,W,Fall,"McNary Dam to Bonneville Dam",2446,.78,.38,1.27,.78,.38,1.27
"Hanford Reach Wild Fall Chinook",2019,CH,W,Fall,"Release Site to Bonneville Dam",9989,.19,.12,.28,.19,.12,.26
"John Day River Wild Spring Chinook",2019,CH,W,Spr,"John Day Dam to Bonneville Dam",1087,1.56,.90,2.28,2.02,1.24,2.92
"John Day River Wild Steelhead",2019,ST,W,Sum,"John Day Dam to Bonneville Dam",2262,,,,.57,.31,.86
"Yakima River Wild Spring Chinook",2019,CH,W,Spr,"McNary Dam to Bonneville Dam",780,2.18,1.30,3.12,2.57,1.58,3.62
