GroupDescription,MigrYr,SpeciesCode,RearCode,RaceCode,SAR_Reach,JuvPop,SARwoJacks,SARwoJacks_LCI,SARwoJacks_UCI,SARwJacks,SARwJacks_LCI,SARwJacks_UCI
Snake River Wild Spring_Summer Chinook,2021,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,15459,0.78,0.66,0.9,0.89,0.77,1.02
Snake River Wild Spring_Summer Chinook,2021,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,15459,0.7,0.59,0.81,0.81,0.69,0.92
Clearwater River Wild Spring Chinook,2021,CH,W,Spr,Lower Granite Dam to Bonneville Dam,527,0.19,0,0.57,0.19,0,0.57
Clearwater River Wild Spring Chinook,2021,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,527,0.19,0,0.57,0.19,0,0.57
Grande Ronde River Wild Spring Chinook,2021,CH,W,Spr,Lower Granite Dam to Bonneville Dam,2084,0.91,0.58,1.27,1.01,0.67,1.37
Grande Ronde River Wild Spring Chinook,2021,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,2084,0.82,0.52,1.15,0.91,0.6,1.25
Imnaha River Wild Summer Chinook,2021,CH,W,Sum,Lower Granite Dam to Bonneville Dam,2175,0.41,0.21,0.65,0.41,0.21,0.65
Imnaha River Wild Summer Chinook,2021,CH,W,Sum,Lower Granite Dam to Lower Granite Dam,2175,0.46,0.23,0.71,0.46,0.23,0.71
Middle Fork Salmon River Wild Spring_Summer Chinook,2021,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,3418,1.02,0.74,1.32,1.35,1.01,1.7
Middle Fork Salmon River Wild Spring_Summer Chinook,2021,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,3418,0.88,0.61,1.16,1.2,0.89,1.53
South Fork Salmon River Wild Spring_Summer Chinook,2021,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,1932,0.72,0.44,1.08,0.72,0.44,1.08
South Fork Salmon River Wild Spring_Summer Chinook,2021,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,1932,0.72,0.44,1.08,0.72,0.44,1.08
Upper Salmon River Wild Spring_Summer Chinook,2021,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,4469,0.92,0.7,1.15,0.98,0.75,1.23
Upper Salmon River Wild Spring_Summer Chinook,2021,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,4469,0.76,0.55,0.97,0.83,0.6,1.06
Snake River Wild Spring_Summer Chinook,2020,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,15660,1.37,1.21,1.53,1.54,1.37,1.7
Snake River Wild Spring_Summer Chinook,2020,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,15660,1.77,1.58,1.95,1.97,1.78,2.17
Snake River Wild Steelhead A-Run,2020,ST,W,Sum,Lower Granite Dam to Bonneville Dam,3746,,,,1.49,1.17,1.82
Snake River Wild Steelhead A-Run,2020,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,3746,,,,1.68,1.33,2.02
