Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Tailwater Elevation (ft)
LGSW,2011-01-01,22.70,0.00,0.00,26.20,,4.28,755.55,726.37,96.14,,538.93
LGSW,2011-01-02,25.94,0.00,0.00,26.90,,4.03,756.47,725.12,95.86,,539.06
LGSW,2011-01-03,35.44,0.00,0.00,31.80,,3.73,757.48,723.37,95.50,,538.96
LGSW,2011-01-04,34.45,0.00,0.00,25.90,,3.44,756.14,719.50,95.15,,538.52
LGSW,2011-01-05,29.70,0.00,0.00,29.60,,3.09,755.87,719.12,95.14,,538.14
LGSW,2011-01-06,24.77,0.00,0.00,24.30,,2.91,753.96,720.50,95.56,,538.58
LGSW,2011-01-07,24.51,0.00,0.00,25.60,,2.93,747.96,722.91,96.65,,539.03
LGSW,2011-01-08,29.27,0.00,0.00,27.60,,2.91,747.74,725.79,97.07,,539.12
LGSW,2011-01-09,24.60,0.00,0.00,27.60,,2.95,750.89,728.29,96.99,,539.06
LGSW,2011-01-10,30.24,0.00,0.00,29.40,,3.02,758.36,728.66,96.08,,539.12
LGSW,2011-01-11,31.43,0.00,0.00,29.00,,3.06,756.02,728.37,96.34,,538.99
LGSW,2011-01-12,28.91,0.00,0.00,26.40,,3.15,749.38,727.79,97.12,,538.86
LGSW,2011-01-13,29.78,0.00,0.00,29.00,,3.18,747.21,729.83,97.67,,538.88
LGSW,2011-01-14,28.32,0.00,0.00,28.90,,3.29,752.02,734.08,97.61,,538.96
LGSW,2011-01-15,40.37,0.00,0.00,41.10,,3.17,750.95,739.58,98.49,,539.10
LGSW,2011-01-16,46.31,0.00,0.00,48.50,,3.26,741.77,747.25,100.74,,539.09
LGSW,2011-01-17,81.17,0.00,0.00,82.10,,3.57,746.61,753.37,100.91,,539.09
LGSW,2011-01-18,90.63,0.00,0.00,88.70,,3.95,750.46,754.66,100.56,,539.08
LGSW,2011-01-19,71.90,0.00,0.00,68.80,,3.79,757.46,753.75,99.51,,538.84
LGSW,2011-01-20,62.36,0.00,0.00,66.60,,3.77,755.08,752.08,99.60,,538.95
LGSW,2011-01-21,63.07,0.00,0.00,60.70,,3.86,749.41,751.04,100.22,,538.95
LGSW,2011-01-22,63.90,0.00,0.00,65.60,,3.81,753.81,748.66,99.32,,538.98
LGSW,2011-01-23,59.70,0.00,0.00,61.60,,3.75,751.12,745.04,99.19,,539.54
LGSW,2011-01-24,64.27,0.00,0.00,61.30,,3.68,751.29,743.79,99.00,,539.87
LGSW,2011-01-25,60.92,0.00,0.00,58.50,,3.62,755.26,745.12,98.66,,539.23
LGSW,2011-01-26,65.84,0.00,0.00,60.80,,3.50,756.62,746.25,98.63,,538.39
LGSW,2011-01-27,56.39,0.00,0.00,54.20,,3.38,753.79,749.58,99.44,,538.24
LGSW,2011-01-28,48.43,0.00,0.00,47.10,,3.38,747.33,751.62,100.58,,538.05
LGSW,2011-01-29,51.66,0.00,0.00,53.90,,3.43,746.03,751.66,100.76,,538.06
LGSW,2011-01-30,39.29,0.00,0.00,45.40,,3.49,750.96,752.41,100.20,,538.57
LGSW,2011-01-31,47.68,0.00,0.00,50.80,,3.44,761.14,752.00,98.80,,538.96
LGSW,2011-02-01,51.87,0.00,0.00,49.20,,3.44,765.75,750.46,98.00,,538.65
LGSW,2011-02-02,40.34,0.00,0.00,38.40,,3.48,764.64,749.66,98.04,,538.62
LGSW,2011-02-03,36.57,0.00,0.00,39.00,,3.52,763.11,749.29,98.19,,538.69
LGSW,2011-02-04,36.05,0.00,0.00,33.60,,3.51,755.44,749.71,99.24,,538.72
LGSW,2011-02-05,36.33,0.00,0.00,39.10,,3.58,755.50,750.37,99.32,,538.75
LGSW,2011-02-06,31.42,0.00,0.00,33.30,,3.64,755.14,748.54,99.13,,538.85
LGSW,2011-02-07,46.79,0.00,0.00,41.30,,3.71,749.43,747.87,99.79,,538.84
LGSW,2011-02-08,39.86,0.00,0.00,39.60,,3.70,756.47,745.66,98.57,,538.66
LGSW,2011-02-09,43.56,0.00,0.00,42.70,,3.58,759.85,745.71,98.14,,538.37
LGSW,2011-02-10,37.40,0.00,0.00,37.20,,3.38,755.02,746.33,98.85,,538.25
LGSW,2011-02-11,43.18,0.00,0.00,46.50,,3.05,751.34,748.54,99.63,,538.40
LGSW,2011-02-12,30.58,0.00,0.00,35.90,,2.82,744.97,751.71,100.91,,538.71
LGSW,2011-02-13,39.95,0.00,0.00,39.40,,2.75,747.59,754.83,100.97,,539.01
LGSW,2011-02-14,46.17,0.00,0.00,45.20,,2.79,738.48,755.91,102.36,,539.01
LGSW,2011-02-15,53.54,0.00,0.00,51.40,,3.06,739.26,755.58,102.21,,538.85
LGSW,2011-02-16,45.55,0.00,0.00,49.30,,3.35,736.34,753.54,102.34,,538.74
LGSW,2011-02-17,57.00,0.00,0.00,57.20,,3.57,741.00,750.00,101.21,,538.97
LGSW,2011-02-18,50.73,0.00,0.00,50.40,,3.67,744.96,750.12,100.69,,538.92
LGSW,2011-02-19,51.13,0.00,0.00,50.10,,3.68,743.20,750.00,100.92,,538.84
LGSW,2011-02-20,42.98,0.00,0.00,42.90,,3.71,746.05,750.33,100.57,,538.97
LGSW,2011-02-21,47.13,0.00,0.00,47.10,,3.85,746.46,748.71,100.30,,538.98
LGSW,2011-02-22,50.47,0.00,0.00,50.80,,4.02,742.93,745.79,100.39,,538.92
LGSW,2011-02-23,42.71,0.00,0.00,41.10,,4.03,745.07,740.46,99.38,,538.72
LGSW,2011-02-24,42.12,0.00,0.00,42.10,,3.97,748.04,738.00,98.66,,538.77
LGSW,2011-02-25,44.08,0.00,0.00,44.60,,3.78,752.61,734.75,97.63,,538.76
LGSW,2011-02-26,39.03,0.00,0.00,37.60,,3.60,747.05,732.37,98.04,,538.76
LGSW,2011-02-27,40.73,0.00,0.00,43.80,,3.48,740.39,736.79,99.52,,538.88
