Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Tailwater Elevation (ft)
LGSW,1995-01-01,18.56,0.0,0.0,19.5,,,,,,,538.99
LGSW,1995-01-02,15.67,0.0,0.0,16.8,,,,,,,539.18
LGSW,1995-01-03,17.14,0.0,0.0,15.3,,,,,,,539.46
LGSW,1995-01-04,19.25,0.0,0.0,19.8,,,,,,,539.15
LGSW,1995-01-05,18.55,0.0,0.0,19.1,,,,,,,539.2
LGSW,1995-01-06,16.05,0.0,0.0,15.9,,,,,,,539.06
LGSW,1995-01-07,16.58,0.0,0.0,16.9,,,,,,,539.32
LGSW,1995-01-08,21.53,0.0,0.0,22.4,,,,,,,539.37
LGSW,1995-01-09,22.2,0.0,0.0,21.7,,,,,,,539.44
LGSW,1995-01-10,20.03,0.0,0.0,19.8,,,,,,,539.56
LGSW,1995-01-11,28.15,0.0,0.0,30.8,,,,,,,539.92
LGSW,1995-01-12,36.15,0.0,0.0,33.2,,,,,,,539.97
LGSW,1995-01-13,35.92,0.0,0.0,37.5,,,,,,,539.67
LGSW,1995-01-14,43.22,0.0,0.0,43.0,,,,,,,539.97
LGSW,1995-01-15,56.2,0.0,0.0,57.3,,,,,,,540.04
LGSW,1995-01-16,52.71,0.0,0.0,50.7,,,,,,,539.92
LGSW,1995-01-17,47.97,0.0,0.0,48.4,,,,,,,539.69
LGSW,1995-01-18,41.24,0.0,0.0,39.4,,,,,,,539.55
LGSW,1995-01-19,29.98,0.0,0.0,31.9,,,,,,,539.74
LGSW,1995-01-20,30.46,0.0,0.0,30.5,,,,,,,539.81
LGSW,1995-01-21,29.74,0.0,0.0,33.0,,,,,,,539.99
LGSW,1995-01-22,29.4,0.0,0.0,28.7,,,,,,,540.02
LGSW,1995-01-23,28.78,0.0,0.0,28.8,,,,,,,539.98
LGSW,1995-01-24,29.41,0.0,0.0,28.6,,,,,,,539.93
LGSW,1995-01-25,24.08,0.0,0.0,22.3,,,,,,,539.62
LGSW,1995-01-26,25.93,0.0,0.0,21.3,,,,,,,539.02
LGSW,1995-01-27,31.34,0.0,0.0,21.2,,,,,,,538.7
LGSW,1995-01-28,22.56,0.0,0.0,21.2,,,,,,,538.05
LGSW,1995-01-29,29.22,0.0,0.0,30.5,,,,,,,537.7
LGSW,1995-01-30,23.62,0.0,0.0,23.6,,,,,,,537.72
LGSW,1995-01-31,24.44,0.0,0.0,25.3,,,,,,,538.14
LGSW,1995-02-01,38.52,0.0,0.0,51.1,,,,,,,538.92
LGSW,1995-02-02,70.65,0.0,0.0,73.2,,,,,,,540.37
LGSW,1995-02-03,75.19,0.0,0.0,77.5,,,,,,,540.5
LGSW,1995-02-04,59.83,0.0,0.0,59.0,,,,,,,540.03
LGSW,1995-02-05,52.46,0.0,0.0,52.5,,,,,,,539.73
LGSW,1995-02-06,49.87,0.0,0.0,49.8,,,,,,,539.81
LGSW,1995-02-07,43.94,0.0,0.0,42.5,,,,,,,539.99
LGSW,1995-02-08,43.08,0.0,0.0,46.4,,,,,,,539.91
LGSW,1995-02-09,43.81,0.0,0.0,42.7,,,,,,,539.83
LGSW,1995-02-10,40.22,0.0,0.0,39.5,,,,,,,539.86
LGSW,1995-02-11,39.16,0.0,0.0,39.3,,,,,,,539.9
LGSW,1995-02-12,39.85,0.0,0.0,40.3,,,,,,,538.99
LGSW,1995-02-13,43.64,0.0,0.0,41.5,,,,,,,538.83
LGSW,1995-02-14,45.32,0.0,0.0,40.5,,,,,,,538.8
LGSW,1995-02-15,42.78,0.0,0.0,38.9,,,,,,,538.25
LGSW,1995-02-16,44.12,0.0,0.0,43.3,,,,,,,538.0
LGSW,1995-02-17,47.38,0.0,0.0,40.0,,,,,,,538.07
LGSW,1995-02-18,36.47,0.0,0.0,36.6,,,,,,,537.96
LGSW,1995-02-19,45.61,0.0,0.0,45.2,,,,,,,538.26
LGSW,1995-02-20,45.73,0.0,0.0,45.2,,,,,,,538.57
LGSW,1995-02-21,49.76,0.0,0.0,60.7,,,,,,,539.29
LGSW,1995-02-22,50.26,0.0,0.0,55.6,,,,,,,539.25
LGSW,1995-02-23,54.66,0.0,0.0,52.3,,,,,,,539.75
LGSW,1995-02-24,47.58,0.0,0.0,48.9,,,,,,,539.43
LGSW,1995-02-25,46.68,0.0,0.0,46.8,,,,,,,539.18
LGSW,1995-02-26,48.32,0.0,0.0,48.4,,,,,,,539.43
LGSW,1995-02-27,47.87,0.0,0.0,50.1,,,,,,,539.8
LGSW,1995-02-28,51.54,0.0,0.0,54.1,,,,,,,539.93
LGSW,1995-03-01,48.77,0.0,0.0,48.5,,,,,,,539.92
LGSW,1995-03-02,45.0,0.0,0.0,45.9,,,,,,,539.91
LGSW,1995-03-03,48.1,0.0,0.0,47.8,,,,,,,539.93
LGSW,1995-03-04,45.72,0.0,0.0,45.4,,,,,,,539.86
LGSW,1995-03-05,41.15,0.0,0.0,40.6,,,,,,,539.81
LGSW,1995-03-06,47.55,0.0,0.0,46.9,,,,,,,539.69
LGSW,1995-03-07,45.25,0.0,0.0,42.8,,,,,,,539.08
LGSW,1995-03-08,42.75,0.0,0.0,42.2,,,,,,,538.86
LGSW,1995-03-09,43.18,0.0,0.0,37.4,,,,,,,538.28
LGSW,1995-03-10,48.79,0.0,0.0,45.1,,,,,,,538.07
LGSW,1995-03-11,42.58,0.0,0.0,39.2,,,,,,,538.06
LGSW,1995-03-12,45.13,0.0,0.0,46.0,,,,,,,538.32
LGSW,1995-03-13,50.39,0.0,0.0,52.3,,,,,,,538.58
LGSW,1995-03-14,50.89,0.0,0.0,49.3,,,,,,,539.11
LGSW,1995-03-15,42.68,0.0,0.0,50.9,,,,,,,539.43
LGSW,1995-03-16,52.33,0.0,0.0,60.4,,,,,,,539.97
LGSW,1995-03-17,55.85,3.7,6.63,56.5,,,,,,,540.05
LGSW,1995-03-18,54.33,5.47,10.07,51.4,,,,,,,539.83
LGSW,1995-03-19,56.92,0.0,0.0,57.4,,,,,,,539.83
LGSW,1995-03-20,53.53,5.7,10.65,55.0,,,,,,,539.52
LGSW,1995-03-21,61.27,13.52,22.06,61.6,,,,,,,539.76
LGSW,1995-03-22,58.25,9.8,16.82,59.3,,,,,,,538.98
LGSW,1995-03-23,58.29,1.12,1.92,55.7,,,,,,,539.24
LGSW,1995-03-24,60.64,0.0,0.0,60.3,,,,,,,539.9
LGSW,1995-03-25,51.44,0.0,0.0,50.5,,,,,,,538.82
LGSW,1995-03-26,53.44,0.0,0.0,50.4,,,,,,,538.86
LGSW,1995-03-27,38.5,0.0,0.0,40.3,,,,,,,538.17
LGSW,1995-03-28,40.52,0.0,0.0,41.3,,,,,,,539.22
LGSW,1995-03-29,38.45,0.0,0.0,39.2,,,,,,,539.33
LGSW,1995-03-30,40.18,0.0,0.0,50.0,,,,,,,539.6
LGSW,1995-03-31,50.0,0.0,0.0,50.0,,,,,,,539.37
LGSW,1995-04-01,54.16,0.0,0.0,46.7,,,,,,,539.12
LGSW,1995-04-02,49.39,0.0,0.0,40.1,,,,,,,538.15
LGSW,1995-04-03,39.14,0.0,0.0,38.9,,,,,,,537.88
LGSW,1995-04-04,41.69,0.0,0.0,42.0,,,,,,,537.89
LGSW,1995-04-05,41.65,0.0,0.0,40.8,,,,,,,537.93
LGSW,1995-04-06,42.18,0.0,0.0,43.7,,,,,,,538.01
LGSW,1995-04-07,46.68,0.0,0.0,48.7,,,,,,,538.28
LGSW,1995-04-08,53.78,0.0,0.0,60.3,,,,776.6,,,539.52
LGSW,1995-04-09,60.16,0.0,0.0,72.1,,,,774.27,,,539.91
LGSW,1995-04-10,62.73,0.0,0.0,65.3,,9.62,757.88,,,,540.02
LGSW,1995-04-11,75.89,0.0,0.0,68.9,,9.75,755.33,,,,540.05
LGSW,1995-04-12,60.95,0.0,0.0,66.0,,9.9,749.96,773.62,103.45,,539.92
LGSW,1995-04-13,63.66,0.0,0.0,62.3,,10.18,750.0,767.25,102.3,,539.95
LGSW,1995-04-14,74.48,1.56,2.09,74.2,,10.28,755.96,763.88,101.05,,539.87
LGSW,1995-04-15,79.84,6.2,7.77,80.1,,10.11,753.88,780.92,103.59,,539.75
LGSW,1995-04-16,76.25,7.96,10.44,71.9,,9.72,753.33,784.42,104.13,,540.17
LGSW,1995-04-17,78.23,9.42,12.05,70.4,,9.52,750.33,792.25,105.59,,539.86
