Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
LGS,1995-01-01,18.56,0.0,0.0,19.5,,,,,,,637.07
LGS,1995-01-02,15.67,0.0,0.0,16.8,,,,,,,637.16
LGS,1995-01-03,17.14,0.0,0.0,15.3,,,,,,,637.23
LGS,1995-01-04,19.25,0.0,0.0,19.8,,,,,,,637.12
LGS,1995-01-05,18.55,0.0,0.0,19.1,,,,,,,637.26
LGS,1995-01-06,16.05,0.0,0.0,15.9,,,,,,,637.19
LGS,1995-01-07,16.58,0.0,0.0,16.9,,,,,,,637.18
LGS,1995-01-08,21.53,0.0,0.0,22.4,,,,,,,637.39
LGS,1995-01-09,22.2,0.0,0.0,21.7,,,,,,,637.43
LGS,1995-01-10,20.03,0.0,0.0,19.8,,,,,,,637.39
LGS,1995-01-11,28.15,0.0,0.0,30.8,,,,,,,637.54
LGS,1995-01-12,36.15,0.0,0.0,33.2,,,,,,,637.6
LGS,1995-01-13,35.92,0.0,0.0,37.5,,,,,,,637.63
LGS,1995-01-14,43.22,0.0,0.0,43.0,,,,,,,637.5
LGS,1995-01-15,56.2,0.0,0.0,57.3,,,,,,,637.4
LGS,1995-01-16,52.71,0.0,0.0,50.7,,,,,,,637.41
LGS,1995-01-17,47.97,0.0,0.0,48.4,,,,,,,637.39
LGS,1995-01-18,41.24,0.0,0.0,39.4,,,,,,,637.28
LGS,1995-01-19,29.98,0.0,0.0,31.9,,,,,,,637.1
LGS,1995-01-20,30.46,0.0,0.0,30.5,,,,,,,637.43
LGS,1995-01-21,29.74,0.0,0.0,33.0,,,,,,,637.68
LGS,1995-01-22,29.4,0.0,0.0,28.7,,,,,,,637.81
LGS,1995-01-23,28.78,0.0,0.0,28.8,,,,,,,637.82
LGS,1995-01-24,29.41,0.0,0.0,28.6,,,,,,,637.71
LGS,1995-01-25,24.08,0.0,0.0,22.3,,,,,,,637.6
LGS,1995-01-26,25.93,0.0,0.0,21.3,,,,,,,636.91
LGS,1995-01-27,31.34,0.0,0.0,21.2,,,,,,,635.78
LGS,1995-01-28,22.56,0.0,0.0,21.2,,,,,,,634.53
LGS,1995-01-29,29.22,0.0,0.0,30.5,,,,,,,634.38
LGS,1995-01-30,23.62,0.0,0.0,23.6,,,,,,,634.4
LGS,1995-01-31,24.44,0.0,0.0,25.3,,,,,,,634.54
