Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Tailwater Elevation (ft)
LGNW,2005-01-01,21.46,0.00,0.00,19.60,,4.27,740.86,738.16,99.64,,636.87
LGNW,2005-01-02,20.01,0.00,0.00,19.50,,4.06,748.63,741.08,98.99,,636.84
LGNW,2005-01-03,23.03,0.00,0.00,20.80,,3.91,751.74,740.33,98.48,,636.55
LGNW,2005-01-04,18.88,0.00,0.00,20.40,,3.84,750.53,741.75,98.83,,636.41
LGNW,2005-01-05,18.70,0.00,0.00,20.90,,3.71,753.00,738.91,98.13,,636.29
LGNW,2005-01-06,24.40,0.00,0.00,23.00,,3.51,744.20,735.33,98.81,,636.16
LGNW,2005-01-07,30.73,0.00,0.00,21.00,,3.39,731.94,733.37,100.20,,636.36
LGNW,2005-01-08,14.70,0.00,0.00,19.60,,3.39,732.68,732.46,99.97,,636.03
LGNW,2005-01-09,13.41,0.00,0.00,18.10,,3.39,743.08,730.79,98.35,,636.19
LGNW,2005-01-10,21.66,0.00,0.00,21.50,,3.42,746.69,732.91,98.15,,636.69
LGNW,2005-01-11,21.05,0.00,0.00,22.30,,3.39,743.11,733.12,98.66,,636.71
LGNW,2005-01-12,21.36,0.00,0.00,22.40,,3.31,744.04,735.08,98.80,,637.12
LGNW,2005-01-13,25.16,0.00,0.00,26.10,,3.22,751.94,736.71,97.98,,637.28
LGNW,2005-01-14,35.80,0.00,0.00,31.80,,3.08,758.83,735.37,96.91,,637.11
LGNW,2005-01-15,22.61,0.00,0.00,22.50,,3.04,761.32,734.43,96.47,,636.52
LGNW,2005-01-16,20.25,0.00,0.00,21.70,,2.91,759.51,731.42,96.28,,636.73
LGNW,2005-01-17,16.04,0.00,0.00,17.80,,2.82,753.36,731.58,96.99,,636.92
LGNW,2005-01-18,22.73,0.00,0.00,22.90,,2.97,750.29,732.43,97.62,,637.00
LGNW,2005-01-19,29.81,0.00,0.00,30.80,,3.00,751.42,739.00,98.22,,637.00
LGNW,2005-01-20,33.58,0.00,0.00,30.50,,3.05,746.53,743.91,99.65,,636.85
LGNW,2005-01-21,26.71,0.00,0.00,28.40,,3.22,748.31,745.62,99.64,,636.86
LGNW,2005-01-22,25.96,0.00,0.00,26.20,,3.43,747.86,748.79,100.12,,636.86
LGNW,2005-01-23,24.18,0.00,0.00,26.00,,3.49,747.96,752.41,100.60,,637.12
LGNW,2005-01-24,29.29,0.00,0.00,26.00,,3.71,748.12,759.96,101.58,,637.32
LGNW,2005-01-25,29.60,0.00,0.00,30.20,,3.84,747.82,763.25,102.06,,636.96
LGNW,2005-01-26,28.43,0.00,0.00,28.70,,3.85,743.77,760.83,102.29,,636.83
LGNW,2005-01-27,32.84,0.00,0.00,31.60,,3.98,744.39,759.37,102.01,,636.83
LGNW,2005-01-28,32.96,0.00,0.00,32.20,,4.20,743.54,757.96,101.94,,636.89
LGNW,2005-01-29,28.58,0.00,0.00,27.80,,4.29,751.01,757.00,100.80,,636.73
LGNW,2005-01-30,24.95,0.00,0.00,25.20,,4.24,754.39,756.46,100.27,,636.75
LGNW,2005-01-31,27.93,0.00,0.00,29.00,,4.11,753.74,757.12,100.45,,637.13
LGNW,2005-02-01,27.90,0.00,0.00,27.30,,4.07,757.56,755.75,99.76,,636.67
LGNW,2005-02-02,26.94,0.00,0.00,26.90,,4.11,756.47,753.04,99.55,,636.55
LGNW,2005-02-03,24.89,0.00,0.00,24.60,,4.27,752.05,751.04,99.87,,636.46
LGNW,2005-02-04,26.81,0.00,0.00,26.40,,4.38,743.99,751.04,100.95,,636.80
LGNW,2005-02-05,25.49,0.00,0.00,25.60,,4.48,746.84,750.04,100.43,,636.84
LGNW,2005-02-06,21.00,0.00,0.00,23.60,,4.55,744.67,751.37,100.90,,636.54
LGNW,2005-02-07,25.58,0.00,0.00,22.60,,4.54,748.09,753.29,100.70,,636.73
LGNW,2005-02-08,20.70,0.00,0.00,21.90,,4.51,752.46,754.08,100.22,,636.50
LGNW,2005-02-09,20.35,0.00,0.00,19.80,,4.41,752.85,754.08,100.16,,636.45
LGNW,2005-02-10,18.68,0.00,0.00,19.90,,4.27,753.59,753.37,99.97,,636.51
