Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Tailwater Elevation (ft)
LGNW,1995-01-01,18.35,0.0,0.0,17.9,,,,,,,636.68
LGNW,1995-01-02,15.87,0.0,0.0,16.4,,,,,,,636.74
LGNW,1995-01-03,15.81,0.0,0.0,13.7,,,,,,,636.91
LGNW,1995-01-04,18.78,0.0,0.0,17.5,,,,,,,636.81
LGNW,1995-01-05,17.72,0.0,0.0,16.9,,,,,,,636.87
LGNW,1995-01-06,15.31,0.0,0.0,16.9,,,,,,,636.79
LGNW,1995-01-07,16.59,0.0,0.0,19.6,,,,,,,636.76
LGNW,1995-01-08,20.2,0.0,0.0,20.6,,,,,,,636.96
LGNW,1995-01-09,22.15,0.0,0.0,20.6,,,,,,,637.06
LGNW,1995-01-10,19.12,0.0,0.0,21.3,,,,,,,637.05
LGNW,1995-01-11,29.05,0.0,0.0,29.8,,,,,,,637.23
LGNW,1995-01-12,33.76,0.0,0.0,32.6,,,,,,,637.32
LGNW,1995-01-13,36.08,0.0,0.0,35.0,,,,,,,637.43
LGNW,1995-01-14,41.64,0.0,0.0,41.8,,,,,,,637.34
LGNW,1995-01-15,55.73,0.0,0.0,52.0,,,,,,,637.49
LGNW,1995-01-16,51.17,0.0,0.0,50.6,,,,,,,637.41
LGNW,1995-01-17,48.37,0.0,0.0,46.7,,,,,,,637.34
LGNW,1995-01-18,39.9,0.0,0.0,41.4,,,,,,,637.02
LGNW,1995-01-19,31.45,0.0,0.0,35.2,,,,,,,636.83
LGNW,1995-01-20,30.76,0.0,0.0,35.6,,,,,,,637.07
LGNW,1995-01-21,32.0,0.0,0.0,32.9,,,,,,,637.38
LGNW,1995-01-22,28.94,0.0,0.0,28.7,,,,,,,637.5
LGNW,1995-01-23,28.36,0.0,0.0,27.5,,,,,,,637.49
LGNW,1995-01-24,28.96,0.0,0.0,26.9,,,,,,,637.39
LGNW,1995-01-25,22.69,0.0,0.0,19.9,,,,,,,637.27
LGNW,1995-01-26,20.54,0.0,0.0,21.4,,,,,,,636.58
LGNW,1995-01-27,21.43,0.0,0.0,21.7,,,,,,,635.42
LGNW,1995-01-28,21.78,0.0,0.0,20.9,,,,,,,634.19
LGNW,1995-01-29,29.16,0.0,0.0,22.4,,,,,,,634.1
LGNW,1995-01-30,23.76,0.0,0.0,23.9,,,,,,,634.02
LGNW,1995-01-31,24.03,0.0,0.0,29.9,,,,,,,634.25
LGNW,1995-02-01,47.65,0.0,0.0,47.4,,,,,,,635.24
LGNW,1995-02-02,73.73,0.0,0.0,73.1,,,,,,,637.61
LGNW,1995-02-03,76.55,0.0,0.0,73.0,,,,,,,637.82
LGNW,1995-02-04,59.01,0.0,0.0,60.1,,,,,,,637.37
LGNW,1995-02-05,52.02,0.0,0.0,51.3,,,,,,,637.18
LGNW,1995-02-06,49.67,0.0,0.0,49.2,,,,,,,637.22
