Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
LWG,2007-01-01,27.33,0.00,0.00,28.40,,,,,,,736.89
LWG,2007-01-02,26.62,0.00,0.00,27.30,,,,,,,736.79
LWG,2007-01-03,28.62,0.00,0.00,29.50,,,,,,,736.77
LWG,2007-01-04,31.62,0.00,0.00,29.60,,,,,,,736.77
LWG,2007-01-05,33.87,0.00,0.00,33.30,,,,,,,736.74
LWG,2007-01-06,31.23,0.00,0.00,33.60,,,,,,,736.62
LWG,2007-01-07,32.68,0.00,0.00,31.10,,,,,,,736.97
LWG,2007-01-08,31.00,0.00,0.00,34.30,,,,,,,736.74
LWG,2007-01-09,39.37,0.00,0.00,35.20,,,,,,,736.91
LWG,2007-01-10,30.40,0.00,0.00,32.90,,,,,,,737.05
LWG,2007-01-11,37.18,0.00,0.00,35.10,,,,,,,736.85
LWG,2007-01-12,39.78,0.00,0.00,38.90,,,,,,,735.84
LWG,2007-01-13,36.51,0.00,0.00,37.10,,,,,,,736.62
LWG,2007-01-14,37.60,0.00,0.00,35.40,,,,,,,736.71
LWG,2007-01-15,32.15,0.00,0.00,34.20,,,,,,,736.45
LWG,2007-01-16,34.86,0.00,0.00,36.40,,,,,,,736.46
LWG,2007-01-17,34.82,0.00,0.00,31.90,,,,,,,736.83
LWG,2007-01-18,35.27,0.00,0.00,30.10,,,,,,,735.66
LWG,2007-01-19,29.85,0.00,0.00,30.80,,,,,,,735.36
LWG,2007-01-20,18.38,0.00,0.00,24.40,,,,,,,735.99
LWG,2007-01-21,20.71,0.00,0.00,23.70,,,,,,,736.67
LWG,2007-01-22,33.73,0.00,0.00,25.40,,,,,,,736.16
LWG,2007-01-23,29.66,0.00,0.00,27.60,,,,,,,735.36
LWG,2007-01-24,26.73,0.00,0.00,25.50,,,,,,,734.40
LWG,2007-01-25,26.41,0.00,0.00,25.60,,,,,,,734.11
LWG,2007-01-26,22.70,0.00,0.00,24.90,,,,,,,734.40
LWG,2007-01-27,21.55,0.00,0.00,25.10,,,,,,,734.70
LWG,2007-01-28,15.88,0.00,0.00,24.40,,,,,,,736.39
LWG,2007-01-29,29.60,0.00,0.00,26.00,,,,,,,736.40
LWG,2007-01-30,21.17,0.00,0.00,27.00,,,,,,,736.94
LWG,2007-01-31,28.44,0.00,0.00,26.60,,,,,,,737.00
LWG,2007-02-01,28.38,0.00,0.00,26.60,,,,,,,737.10
LWG,2007-02-02,29.25,0.00,0.00,29.30,,,,,,,736.73
LWG,2007-02-03,25.87,0.00,0.00,25.10,,,,,,,736.93
LWG,2007-02-04,21.46,0.00,0.00,22.10,,,,,,,736.68
LWG,2007-02-05,21.25,0.00,0.00,21.70,,,,,,,736.52
LWG,2007-02-06,17.04,0.00,0.00,20.00,,,,,,,737.02
LWG,2007-02-07,24.13,0.00,0.00,20.00,,,,,,,736.91
LWG,2007-02-08,19.48,0.00,0.00,20.40,,,,,,,736.60
LWG,2007-02-09,18.13,0.00,0.00,20.70,,,,,,,737.07
LWG,2007-02-10,25.35,0.00,0.00,22.10,,,,,,,737.09
LWG,2007-02-11,22.15,0.00,0.00,23.60,,,,,,,737.03
LWG,2007-02-12,25.20,0.00,0.00,27.80,,,,,,,736.95
LWG,2007-02-13,33.82,0.00,0.00,33.40,,,,,,,737.14
LWG,2007-02-14,35.28,0.00,0.00,32.00,,,,,,,737.06
LWG,2007-02-15,30.58,0.00,0.00,35.00,,,,,,,737.30
LWG,2007-02-16,45.47,0.00,0.00,43.90,,,,,,,736.84
LWG,2007-02-17,42.34,0.00,0.00,40.50,,,,,,,736.96
LWG,2007-02-18,35.27,0.00,0.00,36.10,,,,,,,736.84
LWG,2007-02-19,38.93,0.00,0.00,37.90,,,,,,,736.92
LWG,2007-02-20,33.96,0.00,0.00,38.10,,,,,,,737.03
LWG,2007-02-21,43.69,0.00,0.00,36.30,,,,,,,736.93
LWG,2007-02-22,30.47,0.00,0.00,35.00,,,,,,,736.80
LWG,2007-02-23,37.06,0.00,0.00,35.30,,,,,,,736.96
LWG,2007-02-24,34.46,0.00,0.00,34.00,,,,,,,736.21
LWG,2007-02-25,29.95,0.00,0.00,31.00,,,,,,,736.79
LWG,2007-02-26,32.40,0.00,0.00,30.50,,,,,,,736.80
LWG,2007-02-27,33.80,0.00,0.00,29.30,,,,,,,736.08
LWG,2007-02-28,24.59,0.00,0.00,27.80,,,,,,,736.24
LWG,2007-03-01,29.55,0.00,0.00,27.00,,,,,,,736.15
LWG,2007-03-02,25.70,0.00,0.00,30.10,,,,,,,736.25
LWG,2007-03-03,29.75,0.00,0.00,27.30,,,,,,,736.18
LWG,2007-03-04,23.46,0.00,0.00,25.30,,,,,,,736.53
LWG,2007-03-05,27.68,0.00,0.00,24.50,,,,,,,735.85
LWG,2007-03-06,22.58,0.00,0.00,26.40,,,,,,,736.26
LWG,2007-03-07,25.75,0.00,0.00,26.60,,,,,,,736.81
LWG,2007-03-08,28.64,0.00,0.00,30.70,,,,,,,737.01
LWG,2007-03-09,38.49,0.00,0.00,33.40,,,,,,,736.83
LWG,2007-03-10,31.75,0.00,0.00,34.70,,,,,,,736.26
LWG,2007-03-11,31.81,0.00,0.00,33.50,,,,,,,737.01
LWG,2007-03-12,38.78,0.34,0.87,39.20,,,,,,,737.02
LWG,2007-03-13,55.05,0.00,0.00,50.70,,,,,,,736.19
LWG,2007-03-14,56.39,0.00,0.00,56.90,,,,,,,735.66
LWG,2007-03-15,54.22,0.00,0.00,53.60,,,,,,,735.93
LWG,2007-03-16,45.92,0.00,0.00,50.60,,,,,,,736.75
LWG,2007-03-17,48.19,0.00,0.00,48.00,,,,,,,736.97
LWG,2007-03-18,47.44,0.00,0.00,48.20,,,,,,,736.98
LWG,2007-03-19,53.77,0.00,0.00,49.60,,,,,,,736.76
LWG,2007-03-20,54.37,1.19,2.20,55.50,,7.08,740.31,758.93,102.51,,736.58
LWG,2007-03-21,65.73,0.00,0.00,59.30,,7.64,747.82,756.83,101.21,,734.90
LWG,2007-03-22,55.32,0.00,0.00,55.90,,8.15,744.34,752.29,101.07,,734.72
LWG,2007-03-23,56.72,0.00,0.00,54.70,,8.09,743.94,747.00,100.41,,734.29
LWG,2007-03-24,44.80,0.00,0.00,52.10,,7.76,739.14,746.37,100.98,,736.51
LWG,2007-03-25,45.50,0.00,0.00,47.30,,7.41,740.69,752.66,101.62,,736.72
LWG,2007-03-26,56.78,0.00,0.00,57.00,,7.31,739.75,752.83,101.77,,736.44
LWG,2007-03-27,64.74,19.50,30.13,62.00,7.20,7.65,739.18,752.41,101.79,,736.57
LWG,2007-03-28,58.15,15.65,26.92,56.70,7.20,7.80,751.24,743.00,98.91,,735.74
LWG,2007-03-29,54.94,17.63,32.10,52.60,7.80,7.58,752.91,739.62,98.24,,735.09
LWG,2007-03-30,55.00,10.40,18.91,50.20,7.80,7.47,744.32,741.75,99.66,,734.59
LWG,2007-03-31,50.58,3.43,6.77,49.20,7.80,7.35,740.59,743.41,100.38,,733.79
LWG,2007-04-01,39.76,0.00,0.00,47.80,,7.43,740.57,749.00,101.14,,734.52
LWG,2007-04-02,52.57,0.00,0.00,43.90,7.80,7.61,745.17,754.91,101.31,,734.06
LWG,2007-04-03,42.27,19.10,45.19,42.00,7.80,7.79,747.76,751.25,100.47,,733.21
LWG,2007-04-04,38.13,19.85,52.05,38.00,7.80,7.93,746.12,745.87,99.97,,733.32
LWG,2007-04-05,36.66,20.00,54.56,36.20,8.30,8.07,747.23,745.50,99.77,,733.19
LWG,2007-04-06,34.40,20.13,58.52,35.70,8.30,8.19,742.43,745.58,100.43,,733.36
LWG,2007-04-07,35.51,20.12,56.65,36.40,10.00,8.18,736.39,749.41,101.77,,733.72
LWG,2007-04-08,39.04,20.07,51.41,39.30,10.00,8.19,736.31,754.50,102.47,,733.61
LWG,2007-04-09,46.34,20.12,43.41,45.20,10.00,8.61,737.24,757.37,102.73,,733.68
LWG,2007-04-10,50.44,20.14,39.93,50.70,10.00,9.34,743.78,756.29,101.68,,733.70
LWG,2007-04-11,48.63,20.04,41.21,48.80,12.20,10.44,740.08,751.58,101.55,,733.61
LWG,2007-04-12,50.17,20.01,39.89,49.80,12.20,10.50,741.79,745.54,100.51,,733.57
LWG,2007-04-13,49.91,19.95,39.96,50.00,11.70,10.11,744.31,739.50,99.36,,733.57
LWG,2007-04-14,47.41,19.82,41.81,47.30,10.60,9.57,740.54,742.91,100.32,,733.42
LWG,2007-04-15,45.20,19.96,44.15,46.30,10.60,9.26,747.08,748.29,100.16,,733.64
LWG,2007-04-16,49.45,19.98,40.41,48.30,10.60,9.06,744.51,750.00,100.74,,733.56
LWG,2007-04-17,47.96,19.85,41.39,47.30,,9.10,741.30,753.08,101.59,,733.31
LWG,2007-04-18,46.48,19.99,43.01,46.90,10.60,9.31,739.60,752.29,101.72,,733.45
LWG,2007-04-19,48.32,19.97,41.33,48.20,,9.52,740.37,753.87,101.82,,733.45
LWG,2007-04-20,45.68,20.00,43.78,46.70,10.60,9.56,738.42,755.83,102.36,,733.63
LWG,2007-04-21,47.97,19.92,41.52,46.40,10.60,9.44,736.62,754.66,102.45,,733.41
LWG,2007-04-22,45.26,19.94,44.06,44.70,10.60,9.20,738.57,750.66,101.64,,733.27
LWG,2007-04-23,45.58,19.98,43.84,46.10,10.60,9.02,744.17,752.78,101.22,,733.52
LWG,2007-04-24,46.28,19.92,43.04,47.60,10.00,9.13,745.40,754.50,101.27,,733.42
LWG,2007-04-25,48.47,19.86,40.97,48.40,11.70,9.26,744.68,754.00,101.25,,733.50
LWG,2007-04-26,51.58,20.00,38.78,52.10,11.70,9.54,745.65,755.16,101.28,,733.71
LWG,2007-04-27,53.72,19.90,37.05,53.30,12.20,10.09,744.31,761.46,102.30,,733.56
LWG,2007-04-28,55.93,19.80,35.40,55.00,12.20,10.15,743.16,757.83,101.97,,733.46
LWG,2007-04-29,60.31,19.94,33.06,61.90,12.20,10.41,741.24,762.54,102.87,,733.56
LWG,2007-04-30,71.16,20.00,28.11,71.70,10.60,10.78,741.77,766.08,103.28,,733.70
LWG,2007-05-01,83.56,19.94,23.86,82.40,10.60,11.41,737.35,762.04,103.35,,733.62
LWG,2007-05-02,87.52,19.97,22.82,88.10,13.30,11.61,735.84,759.16,103.17,,733.63
LWG,2007-05-03,94.11,20.01,21.26,94.40,,11.40,739.74,755.54,102.14,,733.46
LWG,2007-05-04,88.79,20.00,22.52,89.10,12.20,10.89,740.07,750.87,101.46,,733.53
LWG,2007-05-05,81.33,19.88,24.44,80.10,12.20,10.28,746.32,754.21,101.06,,733.37
LWG,2007-05-06,71.89,19.95,27.75,71.90,11.10,9.88,747.91,760.12,101.63,,733.46
LWG,2007-05-07,67.12,19.91,29.66,66.80,11.10,9.54,746.90,764.54,102.36,,733.48
LWG,2007-05-08,66.49,19.90,29.93,66.60,11.10,9.61,739.47,772.04,104.41,,733.53
LWG,2007-05-09,68.29,19.80,29.00,69.00,11.70,9.77,740.98,774.46,104.52,,733.62
LWG,2007-05-10,77.70,19.79,25.47,78.60,,10.63,740.67,777.58,104.98,,733.58
LWG,2007-05-11,92.65,19.78,21.35,92.90,11.70,11.91,742.94,771.91,104.09,,733.55
LWG,2007-05-12,93.77,19.79,21.10,93.20,12.20,12.62,,766.50,,,733.46
LWG,2007-05-13,99.74,19.88,19.94,100.20,12.80,12.36,,766.29,,,733.68
LWG,2007-05-14,100.05,19.72,19.71,99.20,12.80,12.15,746.18,765.33,102.54,,733.20
LWG,2007-05-15,92.91,19.65,21.15,93.30,12.80,12.03,743.21,765.79,103.04,,733.40
LWG,2007-05-16,90.05,19.75,21.93,89.40,,11.78,739.57,775.16,104.81,,733.45
LWG,2007-05-17,85.80,19.68,22.94,86.80,,11.98,739.79,776.87,105.01,,733.40
LWG,2007-05-18,92.40,19.80,21.42,92.30,,12.38,740.46,773.21,104.42,,733.53
LWG,2007-05-19,91.13,19.80,21.72,90.50,12.80,12.91,741.74,769.29,103.71,,733.36
LWG,2007-05-20,88.48,19.72,22.29,88.20,14.40,13.24,740.54,765.12,103.32,,733.18
LWG,2007-05-21,87.11,19.83,22.76,87.60,,12.99,740.24,759.25,102.57,,733.52
LWG,2007-05-22,85.44,19.82,23.19,84.40,14.40,12.55,744.61,757.37,101.71,,733.61
LWG,2007-05-23,75.02,19.68,26.23,75.40,14.40,12.15,744.28,756.79,101.68,,733.49
LWG,2007-05-24,74.13,19.79,26.69,74.80,13.30,11.71,740.39,762.46,102.98,,733.41
LWG,2007-05-25,73.34,19.92,27.16,72.20,13.30,11.50,742.50,771.50,103.91,,733.52
LWG,2007-05-26,64.98,19.84,30.53,64.40,13.90,11.65,740.31,775.16,104.71,,733.40
LWG,2007-05-27,58.15,19.83,34.11,58.10,13.90,12.21,737.64,769.12,104.27,,733.63
LWG,2007-05-28,56.91,19.92,35.00,58.60,14.40,12.74,744.59,765.79,102.85,,733.49
LWG,2007-05-29,63.43,19.89,31.36,61.70,14.40,12.95,745.58,760.96,102.06,,733.55
LWG,2007-05-30,58.49,19.79,33.83,58.80,13.90,13.10,742.72,755.54,101.73,,733.55
LWG,2007-05-31,57.33,19.96,34.82,58.60,,12.85,740.34,753.62,101.79,,733.58
LWG,2007-06-01,55.16,19.91,36.09,55.30,14.40,13.13,737.94,770.04,104.35,,733.79
LWG,2007-06-02,54.69,19.65,35.92,53.10,14.40,13.77,737.68,774.62,105.01,,733.49
LWG,2007-06-03,52.83,19.76,37.41,53.90,15.60,14.51,736.97,773.83,105.00,,733.39
LWG,2007-06-04,56.41,19.74,34.99,55.20,,15.16,736.65,772.04,104.80,,733.57
LWG,2007-06-05,57.67,19.79,34.31,58.50,16.70,15.82,734.97,767.41,104.41,,733.50
LWG,2007-06-06,54.97,19.82,36.06,55.00,17.20,16.35,736.35,762.69,103.57,,733.69
LWG,2007-06-07,57.67,19.81,34.35,56.80,16.70,16.27,742.64,751.75,101.23,,733.51
LWG,2007-06-08,52.55,19.97,38.01,53.80,16.70,15.79,740.92,743.12,100.30,,733.51
LWG,2007-06-09,54.01,19.83,36.72,53.10,16.10,14.61,738.59,736.96,99.78,,733.45
LWG,2007-06-10,52.40,19.80,37.80,53.10,16.10,13.84,738.32,742.58,100.58,,733.57
LWG,2007-06-11,54.16,19.74,36.45,54.30,16.10,13.58,741.23,755.79,101.96,,733.58
LWG,2007-06-12,63.04,19.89,31.55,62.20,15.00,13.86,744.74,760.50,102.12,,733.67
LWG,2007-06-13,57.85,19.85,34.32,58.10,15.60,14.08,743.79,756.37,101.69,,733.53
LWG,2007-06-14,55.23,19.86,35.96,54.70,15.60,14.28,743.63,756.54,101.74,,733.58
LWG,2007-06-15,47.84,19.83,41.46,47.30,15.60,15.03,740.11,767.46,103.70,,733.44
LWG,2007-06-16,45.58,19.85,43.56,46.30,15.60,15.07,739.85,759.87,102.71,,733.57
LWG,2007-06-17,46.19,19.92,43.13,45.30,15.60,15.45,742.44,760.12,102.38,,733.53
LWG,2007-06-18,40.65,19.81,48.73,40.80,15.60,15.77,741.91,761.46,102.63,,733.42
LWG,2007-06-19,37.52,19.85,52.90,38.00,16.10,16.24,740.51,759.16,102.52,,733.51
LWG,2007-06-20,42.94,19.85,46.24,42.00,16.10,16.33,739.57,751.83,101.66,,733.53
LWG,2007-06-21,37.39,18.19,48.66,37.50,16.10,16.23,741.35,745.58,100.57,,733.31
LWG,2007-06-22,41.43,18.20,43.94,41.10,17.20,16.51,740.83,754.96,101.91,,733.56
LWG,2007-06-23,39.96,18.05,45.17,39.80,17.20,17.21,741.37,760.96,102.64,,733.45
LWG,2007-06-24,35.21,18.14,51.51,37.30,17.20,17.99,740.55,765.16,103.32,,733.51
LWG,2007-06-25,33.72,18.14,53.80,32.50,17.20,18.26,747.15,760.37,101.77,,733.49
LWG,2007-06-26,31.36,17.64,56.24,31.00,17.20,18.53,745.06,759.04,101.88,,733.23
LWG,2007-06-27,30.87,18.28,59.22,31.10,19.40,18.59,740.04,747.25,100.97,,733.28
LWG,2007-06-28,32.77,18.13,55.33,34.20,19.40,18.48,737.82,738.25,100.06,,733.61
LWG,2007-06-29,35.98,18.23,50.66,35.70,19.40,18.32,740.19,737.37,99.62,,733.79
LWG,2007-06-30,36.87,18.18,49.31,36.30,,18.67,744.31,749.16,100.65,,733.64
LWG,2007-07-01,33.32,18.07,54.24,33.50,,18.92,740.71,754.83,101.91,,733.63
LWG,2007-07-02,31.30,18.00,57.51,30.70,18.90,19.00,742.20,749.50,100.98,,733.35
LWG,2007-07-03,31.54,18.01,57.11,32.90,,19.13,744.97,742.37,99.65,,733.54
LWG,2007-07-04,32.77,17.94,54.74,32.50,,19.57,743.44,750.29,100.92,,733.74
LWG,2007-07-05,32.78,17.85,54.45,31.60,19.40,19.91,739.37,756.58,102.33,,733.56
