Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
LWG,1995-01-01,18.35,0.0,0.0,17.9,,,,,,,736.62
LWG,1995-01-02,15.87,0.0,0.0,16.4,,,,,,,736.61
LWG,1995-01-03,15.81,0.0,0.0,13.7,,,,,,,736.54
LWG,1995-01-04,18.78,0.0,0.0,17.5,,,,,,,736.58
LWG,1995-01-05,17.72,0.0,0.0,16.9,,,,,,,735.85
LWG,1995-01-06,15.31,0.0,0.0,16.9,,,,,,,735.97
LWG,1995-01-07,16.59,0.0,0.0,19.6,,,,,,,736.68
LWG,1995-01-08,20.2,0.0,0.0,20.6,,,,,,,736.95
LWG,1995-01-09,22.15,0.0,0.0,20.6,,,,,,,737.01
LWG,1995-01-10,19.12,0.0,0.0,21.3,,,,,,,736.79
LWG,1995-01-11,29.05,0.0,0.0,29.8,,,,,,,737.0
LWG,1995-01-12,33.76,0.0,0.0,32.6,,,,,,,736.93
LWG,1995-01-13,36.08,0.0,0.0,35.0,,,,,,,736.8
LWG,1995-01-14,41.64,0.0,0.0,41.8,,,,,,,736.76
LWG,1995-01-15,55.73,0.0,0.0,52.0,,,,,,,736.61
LWG,1995-01-16,51.17,0.0,0.0,50.6,,,,,,,735.94
LWG,1995-01-17,48.37,0.0,0.0,46.7,,,,,,,735.98
LWG,1995-01-18,39.9,0.0,0.0,41.4,,,,,,,735.08
LWG,1995-01-19,31.45,0.0,0.0,35.2,,,,,,,736.29
LWG,1995-01-20,30.76,0.0,0.0,35.6,,,,,,,737.18
LWG,1995-01-21,32.0,0.0,0.0,32.9,,,,,,,737.63
LWG,1995-01-22,28.94,0.0,0.0,28.7,,,,,,,737.52
LWG,1995-01-23,28.36,0.0,0.0,27.5,,,,,,,737.41
LWG,1995-01-24,28.96,0.0,0.0,26.9,,,,,,,737.33
LWG,1995-01-25,22.69,0.0,0.0,19.9,,,,,,,736.86
LWG,1995-01-26,20.54,0.0,0.0,21.4,,,,,,,736.98
LWG,1995-01-27,21.43,0.0,0.0,21.7,,,,,,,736.71
LWG,1995-01-28,21.78,0.0,0.0,20.9,,,,,,,736.85
LWG,1995-01-29,29.16,0.0,0.0,22.4,,,,,,,736.15
LWG,1995-01-30,23.76,0.0,0.0,23.9,,,,,,,734.96
LWG,1995-01-31,24.03,0.0,0.0,29.9,,,,,,,736.08
LWG,1995-02-01,47.65,0.0,0.0,47.4,,,,,,,736.44
LWG,1995-02-02,73.73,0.0,0.0,73.1,,,,,,,735.53
LWG,1995-02-03,76.55,0.0,0.0,73.0,,,,,,,735.7
LWG,1995-02-04,59.01,0.0,0.0,60.1,,,,,,,735.51
LWG,1995-02-05,52.02,0.0,0.0,51.3,,,,,,,735.63
LWG,1995-02-06,49.67,0.0,0.0,49.2,,,,,,,735.37
LWG,1995-02-07,42.44,0.0,0.0,46.9,,,,,,,736.25
LWG,1995-02-08,44.87,0.0,0.0,45.0,,,,,,,736.3
LWG,1995-02-09,42.79,0.0,0.0,42.6,,,,,,,736.55
LWG,1995-02-10,39.57,0.0,0.0,40.8,,,,,,,736.61
LWG,1995-02-11,38.43,0.0,0.0,38.7,,,,,,,736.87
LWG,1995-02-12,39.18,0.0,0.0,37.5,,,,,,,736.82
LWG,1995-02-13,41.47,0.0,0.0,41.1,,,,,,,736.68
LWG,1995-02-14,38.6,0.0,0.0,36.6,,,,,,,736.14
LWG,1995-02-15,38.71,0.0,0.0,38.5,,,,,,,735.92
LWG,1995-02-16,42.69,0.0,0.0,39.3,,,,,,,735.63
LWG,1995-02-17,39.4,0.0,0.0,35.9,,,,,,,734.8
LWG,1995-02-18,34.9,0.0,0.0,33.9,,,,,,,734.27
LWG,1995-02-19,43.88,0.0,0.0,41.5,,,,,,,733.92
LWG,1995-02-20,44.55,0.0,0.0,54.6,,,,,,,734.27
LWG,1995-02-21,59.62,0.0,0.0,59.4,,,,,,,735.78
LWG,1995-02-22,54.5,0.0,0.0,54.9,,,,,,,735.83
LWG,1995-02-23,51.85,0.0,0.0,50.5,,,,,,,735.59
LWG,1995-02-24,47.6,0.0,0.0,47.2,,,,,,,735.5
LWG,1995-02-25,46.17,0.0,0.0,47.5,,,,,,,735.73
LWG,1995-02-26,47.9,0.0,0.0,49.1,,,,,,,736.03
LWG,1995-02-27,49.36,0.0,0.0,51.7,,,,,,,735.99
LWG,1995-02-28,54.2,0.0,0.0,53.1,,,,,,,736.24
LWG,1995-03-01,48.7,0.0,0.0,48.8,6.7,,,,,,736.14
LWG,1995-03-02,45.08,0.0,0.0,45.4,6.7,,,,,,736.19
LWG,1995-03-03,47.18,0.0,0.0,47.4,6.7,,,,,,736.26
LWG,1995-03-04,45.13,0.0,0.0,44.1,6.7,,,,,,736.19
LWG,1995-03-05,40.61,0.0,0.0,42.5,6.1,,,,,,736.27
LWG,1995-03-06,45.88,0.0,0.0,43.0,6.1,,,,,,736.19
LWG,1995-03-07,43.33,0.0,0.0,42.8,5.6,,,,,,735.69
LWG,1995-03-08,42.38,0.0,0.0,41.2,5.6,,,,,,735.59
LWG,1995-03-09,36.28,0.0,0.0,38.0,5.6,8.0,,902.0,,,735.74
LWG,1995-03-10,44.84,0.0,0.0,40.3,5.6,4.67,,902.1,,,735.59
LWG,1995-03-11,37.83,0.0,0.0,39.1,5.6,5.49,,906.3,,,735.12
LWG,1995-03-12,44.82,0.0,0.0,46.3,6.7,6.59,,915.2,,,735.31
LWG,1995-03-13,51.67,0.0,0.0,52.5,6.7,7.21,,918.5,,,735.43
LWG,1995-03-14,50.41,5.53,10.98,52.4,6.7,7.74,746.15,807.0,100.39,,735.58
