Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Tailwater Elevation (ft)
IDSW,1995-01-01,20.95,0.0,0.0,19.8,,,,,,,339.81
IDSW,1995-01-02,17.46,0.0,0.0,14.0,,,,,,,339.64
IDSW,1995-01-03,19.95,0.0,0.0,18.4,,,,,,,339.84
IDSW,1995-01-04,18.78,0.0,0.0,21.6,,,,,,,339.86
IDSW,1995-01-05,17.4,0.0,0.0,19.8,,,,,,,339.74
IDSW,1995-01-06,15.37,0.0,0.0,16.0,,,,,,,339.7
IDSW,1995-01-07,19.0,0.0,0.0,15.8,,,,,,,339.97
IDSW,1995-01-08,21.39,0.0,0.0,22.2,,,,,,,340.05
IDSW,1995-01-09,25.2,0.0,0.0,23.5,,,,,,,340.26
IDSW,1995-01-10,16.93,0.0,0.0,21.4,,,,,,,339.62
IDSW,1995-01-11,25.51,7.61,29.84,28.7,,,,,,,339.83
IDSW,1995-01-12,42.93,11.71,27.28,43.6,,,,,,,341.52
IDSW,1995-01-13,38.28,6.49,16.95,35.1,,,,,,,341.37
IDSW,1995-01-14,49.2,16.5,33.53,51.0,,,,,,,341.96
IDSW,1995-01-15,59.93,27.07,45.16,61.1,,,,,,,342.9
IDSW,1995-01-16,57.73,24.73,42.84,58.1,,,,,,,342.59
IDSW,1995-01-17,54.53,17.07,31.31,51.4,,,,,,,342.51
IDSW,1995-01-18,43.16,0.47,1.09,43.4,,,,,,,341.65
IDSW,1995-01-19,31.76,0.0,0.0,33.1,,,,,,,340.28
IDSW,1995-01-20,31.86,0.46,1.44,33.2,,,,,,,340.42
IDSW,1995-01-21,31.4,0.0,0.0,31.7,,,,,,,340.37
IDSW,1995-01-22,32.77,1.4,4.26,31.5,,,,,,,340.43
IDSW,1995-01-23,31.22,0.0,0.0,31.2,,,,,,,340.14
IDSW,1995-01-24,31.33,0.0,0.0,31.0,,,,,,,340.43
IDSW,1995-01-25,30.58,0.0,0.0,29.2,,,,,,,340.48
IDSW,1995-01-26,31.62,0.0,0.0,28.4,,,,,,,340.44
IDSW,1995-01-27,31.92,0.0,0.0,36.6,,,,,,,340.5
IDSW,1995-01-28,31.92,0.0,0.0,26.4,,,,,,,340.51
IDSW,1995-01-29,32.13,0.0,0.0,31.4,,,,,,,340.7
IDSW,1995-01-30,24.64,0.0,0.0,24.2,,,,,,,339.91
IDSW,1995-01-31,26.45,0.0,0.0,25.5,,,,,,,340.45
IDSW,1995-02-01,32.57,0.0,0.0,41.2,,,,,,,340.92
IDSW,1995-02-02,72.79,37.83,51.96,72.6,,,,,,,344.13
IDSW,1995-02-03,80.25,46.95,58.5,80.8,,,,,,,344.73
IDSW,1995-02-04,68.97,36.1,52.35,66.2,,,,,,,343.6
IDSW,1995-02-05,56.03,23.54,42.01,55.2,,,,,,,342.37
IDSW,1995-02-06,51.38,18.58,36.16,52.8,,,,,,,342.28
IDSW,1995-02-07,49.21,16.26,33.04,46.9,,,,,,,342.26
IDSW,1995-02-08,44.17,11.97,27.09,45.0,,,,,,,341.44
IDSW,1995-02-09,47.73,15.14,31.73,47.0,,,,,,,341.79
IDSW,1995-02-10,43.16,11.15,25.84,42.7,,,,,,,341.54
IDSW,1995-02-11,42.5,0.48,1.12,43.4,,,,,,,341.64
IDSW,1995-02-12,49.5,0.0,0.0,47.1,,,,,,,342.12
IDSW,1995-02-13,46.55,0.0,0.0,44.0,,,,,,,341.95
IDSW,1995-02-14,46.65,0.0,0.0,51.4,,,,,,,341.91
IDSW,1995-02-15,50.5,0.0,0.0,46.1,,,,,,,342.32
IDSW,1995-02-16,50.56,0.0,0.0,47.5,,,,,,,342.44
IDSW,1995-02-17,50.06,0.0,0.0,48.4,,,,,,,342.56
IDSW,1995-02-18,40.58,0.0,0.0,40.9,,,,,,,341.66
IDSW,1995-02-19,48.01,0.0,0.0,50.5,,,,,,,342.17
IDSW,1995-02-20,51.44,0.0,0.0,49.6,,,,,,,342.33
IDSW,1995-02-21,57.06,5.21,9.14,57.0,,,,,,,342.74
IDSW,1995-02-22,53.25,2.31,4.33,60.5,,,,,,,342.78
IDSW,1995-02-23,57.06,7.69,13.47,58.8,,,,,,,343.0
IDSW,1995-02-24,54.33,3.4,6.26,52.0,,,,,,,342.7
IDSW,1995-02-25,51.02,0.0,0.0,52.0,,,,,,,342.56
IDSW,1995-02-26,51.24,0.0,0.0,49.7,,,,,,,342.6
IDSW,1995-02-27,51.09,0.0,0.0,52.2,,,,,,,342.23
IDSW,1995-02-28,53.79,9.37,17.42,55.2,,,,,,,342.21
IDSW,1995-03-01,51.16,0.7,1.38,52.0,,,,,,,342.18
IDSW,1995-03-02,48.38,1.71,3.53,48.5,,,,,,,341.94
