Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
IHR,1995-01-01,20.95,0.0,0.0,19.8,5.56,5.56,,,99.8,0.63,438.71
IHR,1995-01-02,17.46,0.0,0.0,14.0,5.56,5.56,,,99.8,0.62,438.3
IHR,1995-01-03,19.95,0.0,0.0,18.4,5.56,5.56,,,99.8,0.62,438.08
IHR,1995-01-04,18.78,0.0,0.0,21.6,5.0,5.0,,,99.79,0.52,438.14
IHR,1995-01-05,17.4,0.0,0.0,19.8,4.44,4.44,,,99.8,0.5,438.35
IHR,1995-01-06,15.37,0.0,0.0,16.0,3.89,3.89,,,99.8,0.5,438.75
IHR,1995-01-07,19.0,0.0,0.0,15.8,3.89,3.89,,,99.8,0.5,438.8
IHR,1995-01-08,21.39,0.0,0.0,22.2,3.89,3.89,,,99.8,0.5,438.45
IHR,1995-01-09,25.2,0.0,0.0,23.5,3.89,3.89,,,99.8,0.5,438.36
IHR,1995-01-10,16.93,0.0,0.0,21.4,3.89,3.89,,,99.8,0.59,438.17
IHR,1995-01-11,25.51,7.61,29.84,28.7,3.33,3.33,,,99.83,0.59,439.48
IHR,1995-01-12,42.93,11.71,27.28,43.6,3.33,3.33,,,99.81,0.59,439.81
IHR,1995-01-13,38.28,6.49,16.95,35.1,3.33,3.33,,,99.8,0.48,439.09
IHR,1995-01-14,49.2,16.5,33.53,51.0,3.33,3.33,,,99.8,0.48,438.73
IHR,1995-01-15,59.93,27.07,45.16,61.1,3.33,3.33,,,,0.48,438.95
IHR,1995-01-16,57.73,24.73,42.84,58.1,3.33,3.33,,,,0.48,438.5
IHR,1995-01-17,54.53,17.07,31.31,51.4,3.33,3.33,,,99.8,0.48,438.32
IHR,1995-01-18,43.16,0.47,1.09,43.4,3.33,3.33,,,99.8,0.48,438.77
IHR,1995-01-19,31.76,0.0,0.0,33.1,3.33,3.33,,,99.8,0.07,438.91
IHR,1995-01-20,31.86,0.46,1.44,33.2,3.33,3.33,,,99.78,0.04,439.17
IHR,1995-01-21,31.4,0.0,0.0,31.7,3.33,3.33,,,99.8,0.04,439.71
IHR,1995-01-22,32.77,1.4,4.26,31.5,3.33,3.33,,,99.81,0.04,439.74
IHR,1995-01-23,31.22,0.0,0.0,31.2,3.33,3.33,,,99.8,0.04,439.58
IHR,1995-01-24,31.33,0.0,0.0,31.0,3.33,3.33,,,99.79,0.04,439.51
IHR,1995-01-25,30.58,0.0,0.0,29.2,3.33,3.33,,,99.79,0.04,439.16
IHR,1995-01-26,31.62,0.0,0.0,28.4,3.33,3.33,,,99.8,0.07,438.44
IHR,1995-01-27,31.92,0.0,0.0,36.6,3.33,3.33,,,99.81,0.07,438.48
IHR,1995-01-28,31.92,0.0,0.0,26.4,3.33,3.33,,,99.8,0.17,438.52
IHR,1995-01-29,32.13,0.0,0.0,31.4,3.33,3.33,,,99.79,0.17,437.71
IHR,1995-01-30,24.64,0.0,0.0,24.2,3.33,3.33,,,99.81,0.17,437.94
IHR,1995-01-31,26.45,0.0,0.0,25.5,3.33,3.33,,,99.9,0.17,437.71
IHR,1995-02-01,32.57,0.0,0.0,41.2,,,,,99.89,,438.06
IHR,1995-02-02,72.79,37.83,51.96,72.6,3.33,3.33,,,99.85,0.42,439.54
IHR,1995-02-03,80.25,46.95,58.5,80.8,3.89,3.89,,,,0.42,439.39
IHR,1995-02-04,68.97,36.1,52.35,66.2,3.89,3.89,,,99.8,0.45,439.16
IHR,1995-02-05,56.03,23.54,42.01,55.2,3.89,3.89,,,99.73,0.3,438.77
IHR,1995-02-06,51.38,18.58,36.16,52.8,3.89,3.89,,,99.81,0.35,439.05
IHR,1995-02-07,49.21,16.26,33.04,46.9,4.44,4.44,,,99.81,0.35,438.12
IHR,1995-02-08,44.17,11.97,27.09,45.0,4.44,4.44,,,99.79,0.35,439.11
IHR,1995-02-09,47.73,15.14,31.73,47.0,4.44,4.44,,,99.79,0.08,439.16
