Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Tailwater Elevation (ft)
LMNW,1999-01-01,57.63,0.00,0.00,54.90,,,,,,,438.93
LMNW,1999-01-02,55.11,0.00,0.00,53.50,,,,,,,438.63
LMNW,1999-01-03,41.47,0.00,0.00,44.60,,,,,,,438.53
LMNW,1999-01-04,40.31,0.00,0.00,37.90,,,,,,,438.51
LMNW,1999-01-05,38.17,0.00,0.00,40.20,,,,,,,438.64
LMNW,1999-01-06,45.21,0.00,0.00,45.40,,,,,,,438.84
LMNW,1999-01-07,42.98,0.00,0.00,44.10,,,,,,,438.68
LMNW,1999-01-08,52.72,0.00,0.00,51.50,,,,,,,438.93
LMNW,1999-01-09,49.29,0.00,0.00,50.00,,,,,,,438.81
LMNW,1999-01-10,49.98,0.00,0.00,48.40,,,,,,,438.85
LMNW,1999-01-11,53.09,0.00,0.00,55.70,,,,,,,438.81
LMNW,1999-01-12,58.33,0.00,0.00,56.80,,,,,,,439.01
LMNW,1999-01-13,53.88,0.00,0.00,54.40,,,,,,,438.79
LMNW,1999-01-14,58.54,0.00,0.00,59.40,,,,,,,439.08
LMNW,1999-01-15,62.63,0.00,0.00,62.60,,,,,,,439.17
LMNW,1999-01-16,72.21,0.00,0.00,69.80,,,,,,,439.62
LMNW,1999-01-17,61.69,0.00,0.00,61.90,,,,,,,438.99
LMNW,1999-01-18,64.47,0.00,0.00,64.50,,,,,,,439.20
LMNW,1999-01-19,60.64,0.00,0.00,63.60,,,,,,,439.08
LMNW,1999-01-20,63.83,0.00,0.00,59.50,,,,,,,439.20
LMNW,1999-01-21,60.18,0.00,0.00,62.90,,,,,,,439.18
LMNW,1999-01-22,68.35,0.00,0.00,67.20,,,,,,,439.61
LMNW,1999-01-23,64.43,0.00,0.00,60.30,,,,,,,440.24
LMNW,1999-01-24,65.42,0.00,0.00,69.30,,,,,,,441.26
LMNW,1999-01-25,62.55,0.00,0.00,59.90,,,,,,,440.03
LMNW,1999-01-26,58.26,0.00,0.00,60.50,,,,,,,439.18
LMNW,1999-01-27,62.70,0.00,0.00,61.70,,,,,,,439.17
LMNW,1999-01-28,53.76,0.00,0.00,54.40,,,,,,,439.14
LMNW,1999-01-29,52.37,0.00,0.00,52.30,,,,,,,438.89
LMNW,1999-01-30,58.72,0.00,0.00,58.40,,,,,,,439.15
LMNW,1999-01-31,54.05,0.00,0.00,55.30,,,,,,,439.22
