Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Tailwater Elevation (ft)
LMNW,1995-01-01,18.91,0.0,0.0,19.2,,,,,,,438.82
LMNW,1995-01-02,14.3,0.0,0.0,15.5,,,,,,,438.34
LMNW,1995-01-03,18.6,0.0,0.0,16.4,,,,,,,438.32
LMNW,1995-01-04,19.09,0.0,0.0,21.6,,,,,,,438.38
LMNW,1995-01-05,19.06,0.0,0.0,17.4,,,,,,,438.52
LMNW,1995-01-06,15.82,0.0,0.0,16.5,,,,,,,438.88
LMNW,1995-01-07,16.31,0.0,0.0,16.5,,,,,,,438.99
LMNW,1995-01-08,21.0,0.0,0.0,22.3,,,,,,,438.67
LMNW,1995-01-09,22.28,0.0,0.0,21.8,,,,,,,438.62
LMNW,1995-01-10,21.85,0.0,0.0,21.9,,,,,,,438.42
LMNW,1995-01-11,28.18,0.0,0.0,31.1,,,,,,,439.81
LMNW,1995-01-12,42.24,0.0,0.0,39.0,,,,,,,440.42
LMNW,1995-01-13,35.65,0.0,0.0,37.8,,,,,,,439.53
LMNW,1995-01-14,48.15,0.0,0.0,47.2,,,,,,,439.69
LMNW,1995-01-15,59.68,0.0,0.0,62.0,,,,,,,440.25
LMNW,1995-01-16,57.38,0.0,0.0,56.1,,,,,,,439.82
LMNW,1995-01-17,49.72,0.0,0.0,51.0,,,,,,,439.29
LMNW,1995-01-18,44.46,0.0,0.0,42.1,,,,,,,439.54
LMNW,1995-01-19,32.42,0.0,0.0,33.5,,,,,,,439.37
LMNW,1995-01-20,32.69,0.0,0.0,33.5,,,,,,,439.61
LMNW,1995-01-21,31.03,0.0,0.0,31.9,,,,,,,440.04
LMNW,1995-01-22,31.12,0.0,0.0,31.1,,,,,,,440.07
LMNW,1995-01-23,30.59,0.0,0.0,30.6,,,,,,,439.96
LMNW,1995-01-24,30.49,0.0,0.0,30.5,,,,,,,439.87
LMNW,1995-01-25,29.24,0.0,0.0,24.7,,,,,,,439.49
LMNW,1995-01-26,28.17,0.0,0.0,27.6,,,,,,,438.78
LMNW,1995-01-27,35.61,0.0,0.0,32.3,,,,,,,439.0
LMNW,1995-01-28,25.71,0.0,0.0,24.8,,,,,,,438.87
LMNW,1995-01-29,30.25,0.0,0.0,31.7,,,,,,,438.14
LMNW,1995-01-30,24.31,0.0,0.0,24.0,,,,,,,438.19
LMNW,1995-01-31,24.02,0.0,0.0,26.6,,,,,,,438.12
LMNW,1995-02-01,40.08,0.0,0.0,43.0,,,,,,,438.73
LMNW,1995-02-02,74.21,0.0,0.0,77.2,,,,,,,441.51
LMNW,1995-02-03,82.18,0.0,0.0,83.0,,,,,,,441.62
LMNW,1995-02-04,66.99,0.0,0.0,64.7,,,,,,,440.74
LMNW,1995-02-05,54.84,0.0,0.0,55.6,,,,,,,439.91
LMNW,1995-02-06,53.21,0.0,0.0,52.8,,,,,,,440.03
LMNW,1995-02-07,46.18,0.0,0.0,47.8,,,,,,,438.94
LMNW,1995-02-08,46.28,0.0,0.0,45.3,,,,,,,439.76
LMNW,1995-02-09,46.4,2.58,5.55,45.6,,,,,,,439.86
LMNW,1995-02-10,42.77,0.0,0.0,43.5,,,,,,,439.63
LMNW,1995-02-11,42.15,0.0,0.0,41.7,,,,,,,439.48
LMNW,1995-02-12,46.64,0.0,0.0,42.6,,,,,,,439.09
LMNW,1995-02-13,44.23,0.0,0.0,44.9,,,,,,,438.73
LMNW,1995-02-14,50.0,0.0,0.0,48.7,,,,,,,439.35
LMNW,1995-02-15,46.26,0.0,0.0,44.3,,,,,,,439.01
LMNW,1995-02-16,45.63,0.0,0.0,46.5,,,,,,,438.57
LMNW,1995-02-17,48.83,0.0,0.0,48.4,,,,,,,438.45
LMNW,1995-02-18,39.48,0.0,0.0,39.9,,,,,,,438.15
LMNW,1995-02-19,48.93,0.0,0.0,49.9,,,,,,,438.61
LMNW,1995-02-20,48.69,0.0,0.0,51.8,,,,,,,438.58
LMNW,1995-02-21,55.86,0.0,0.0,57.8,,,,,,,438.78
LMNW,1995-02-22,59.7,0.0,0.0,57.5,,,,,,,439.16
LMNW,1995-02-23,58.21,0.0,0.0,58.9,,,,,,,439.88
LMNW,1995-02-24,51.82,0.0,0.0,51.2,,,,,,,439.52
LMNW,1995-02-25,51.28,0.0,0.0,50.7,,,,,,,439.26
LMNW,1995-02-26,48.26,0.0,0.0,51.2,,,,,,,439.24
LMNW,1995-02-27,51.32,0.0,0.0,51.8,,,,,,,439.34
