Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
LMN,2011-01-01,24.46,0.00,0.00,23.90,,,,,,,539.27
LMN,2011-01-02,28.83,0.00,0.00,26.20,,,,,,,538.83
LMN,2011-01-03,36.89,0.00,0.00,38.70,,,,,,,538.84
LMN,2011-01-04,37.20,0.00,0.00,36.10,,,,,,,538.66
LMN,2011-01-05,27.03,0.00,0.00,27.70,,,,,,,538.64
LMN,2011-01-06,17.22,0.00,0.00,17.40,,,,,,,539.02
LMN,2011-01-07,26.59,0.00,0.00,26.70,,,,,,,539.07
LMN,2011-01-08,31.44,0.00,0.00,30.70,,,,,,,539.31
LMN,2011-01-09,25.11,0.00,0.00,26.50,,,,,,,539.15
LMN,2011-01-10,31.64,0.00,0.00,33.20,,,,,,,539.28
LMN,2011-01-11,34.65,0.00,0.00,32.50,,,,,,,539.20
LMN,2011-01-12,30.13,0.00,0.00,30.90,,,,,,,539.11
LMN,2011-01-13,32.68,0.00,0.00,32.20,,,,,,,539.36
LMN,2011-01-14,29.73,0.00,0.00,29.30,,,,,,,539.03
LMN,2011-01-15,43.96,0.00,0.00,45.80,,,,,,,539.14
LMN,2011-01-16,51.35,0.00,0.00,53.40,,,,,,,539.30
LMN,2011-01-17,91.42,0.00,0.00,93.30,,,,,,,539.35
LMN,2011-01-18,104.58,0.00,0.00,103.20,,,,,,,539.44
LMN,2011-01-19,81.00,0.00,0.00,80.80,,,,,,,538.97
LMN,2011-01-20,69.10,0.00,0.00,69.60,,,,,,,539.57
LMN,2011-01-21,70.25,0.00,0.00,68.30,,,,,,,539.38
LMN,2011-01-22,68.28,0.00,0.00,68.00,,,,,,,539.22
LMN,2011-01-23,64.15,0.00,0.00,66.40,,,,,,,539.34
LMN,2011-01-24,72.81,0.00,0.00,68.40,,,,,,,539.28
LMN,2011-01-25,64.33,0.00,0.00,67.10,,,,,,,538.80
LMN,2011-01-26,71.41,0.00,0.00,73.10,,,,,,,539.23
LMN,2011-01-27,63.65,0.00,0.00,60.70,,,,,,,538.54
LMN,2011-01-28,52.46,0.00,0.00,52.40,,,,,,,538.73
LMN,2011-01-29,57.73,0.00,0.00,57.10,,,,,,,539.04
LMN,2011-01-30,41.71,0.00,0.00,41.00,,,,,,,538.82
LMN,2011-01-31,49.55,0.00,0.00,54.80,,,,,,,539.02
LMN,2011-02-01,58.28,0.00,0.00,56.40,,,,,,,539.25
LMN,2011-02-02,44.83,0.00,0.00,42.50,,,,,,,538.99
LMN,2011-02-03,40.98,0.00,0.00,39.60,,,,,,,538.75
LMN,2011-02-04,38.81,0.00,0.00,38.00,,,,,,,538.88
LMN,2011-02-05,26.16,0.00,0.00,40.30,,,,,,,539.06
LMN,2011-02-06,34.33,0.00,0.00,34.00,,,,,,,538.95
LMN,2011-02-07,50.72,0.00,0.00,48.40,,,,,,,539.19
LMN,2011-02-08,41.91,0.00,0.00,45.70,,,,,,,538.86
LMN,2011-02-09,47.47,0.00,0.00,47.30,,,,,,,538.86
LMN,2011-02-10,43.75,0.00,0.00,41.90,,,,,,,538.52
LMN,2011-02-11,44.19,0.00,0.00,46.40,,,,,,,538.84
LMN,2011-02-12,32.52,0.00,0.00,32.70,,,,,,,538.89
LMN,2011-02-13,43.24,0.00,0.00,43.00,,,,,,,539.23
LMN,2011-02-14,49.01,0.00,0.00,49.80,,,,,,,539.23
LMN,2011-02-15,58.76,0.00,0.00,57.10,,,,,,,538.94
LMN,2011-02-16,49.58,0.00,0.00,48.90,,,,,,,538.77
LMN,2011-02-17,58.57,0.00,0.00,62.80,,,,,,,539.11
LMN,2011-02-18,54.90,0.00,0.00,53.90,,,,,,,539.12
LMN,2011-02-19,56.88,0.00,0.00,56.20,,,,,,,539.68
LMN,2011-02-20,47.05,0.00,0.00,46.20,,,,,,,539.25
LMN,2011-02-21,52.51,0.00,0.00,53.50,,,,,,,539.30
LMN,2011-02-22,54.03,0.00,0.00,56.10,,,,,,,539.22
LMN,2011-02-23,45.35,1.11,2.44,43.60,,,,,,,538.79
LMN,2011-02-24,43.76,0.00,0.00,46.50,,,,,,,539.11
LMN,2011-02-25,49.37,0.00,0.00,48.50,,,,,,,539.09
LMN,2011-02-26,42.25,0.00,0.00,41.50,,,,,,,539.21
LMN,2011-02-27,44.07,0.00,0.00,42.40,,,,,,,539.01
LMN,2011-02-28,45.62,0.00,0.00,48.20,,,,,,,538.94
LMN,2011-03-01,57.53,0.00,0.00,56.90,,,,,,,539.08
LMN,2011-03-02,51.36,0.00,0.00,52.60,,,,,,,538.91
LMN,2011-03-03,55.16,0.00,0.00,54.10,,,,,,,538.53
LMN,2011-03-04,60.99,0.00,0.00,63.10,,,,,,,538.94
LMN,2011-03-05,50.25,0.00,0.00,49.70,,,,,,,539.00
LMN,2011-03-06,55.80,0.00,0.00,57.00,,,,,,,539.06
LMN,2011-03-07,57.68,0.00,0.00,57.80,,,,,,,539.39
LMN,2011-03-08,56.07,0.00,0.00,55.80,,,,,,,539.46
LMN,2011-03-09,57.70,0.00,0.00,56.00,,4.00,747.43,756.67,101.25,,539.17
LMN,2011-03-10,50.10,0.00,0.00,51.40,,3.88,743.10,758.75,102.11,,539.04
LMN,2011-03-11,67.53,0.00,0.00,68.50,,4.00,751.04,760.88,101.33,,539.27
LMN,2011-03-12,67.99,0.00,0.00,70.10,,4.34,748.35,762.58,101.90,,539.14
LMN,2011-03-13,42.82,0.00,0.00,39.10,,4.64,746.05,761.87,102.12,,539.41
LMN,2011-03-14,61.72,0.00,0.00,63.80,,4.91,749.55,763.71,101.89,,539.17
LMN,2011-03-15,68.66,0.00,0.00,67.40,,5.22,742.72,764.29,102.91,,539.13
LMN,2011-03-16,60.92,0.00,0.00,62.90,,5.45,744.03,763.13,102.58,,539.42
LMN,2011-03-17,88.03,0.00,0.00,85.00,,5.61,749.60,760.71,101.48,,539.27
LMN,2011-03-18,82.58,0.00,0.00,83.30,,5.70,743.58,759.08,102.09,,538.94
LMN,2011-03-19,81.71,0.00,0.00,82.40,,5.73,741.19,759.88,102.53,,539.33
LMN,2011-03-20,78.13,0.00,0.00,78.00,,5.78,738.03,760.04,102.98,,539.16
LMN,2011-03-21,81.23,0.00,0.00,81.50,,5.80,736.97,760.79,103.23,,538.90
LMN,2011-03-22,73.47,0.00,0.00,70.40,,5.92,745.98,759.00,101.75,,539.13
LMN,2011-03-23,78.55,0.00,0.00,76.30,,6.09,743.92,757.25,101.80,,538.56
LMN,2011-03-24,78.94,0.00,0.00,84.60,,6.17,735.59,756.29,102.82,,538.34
LMN,2011-03-25,87.91,0.00,0.00,85.60,,6.26,738.13,758.63,102.78,,538.92
LMN,2011-03-26,83.14,0.00,0.00,80.20,,6.45,738.60,758.83,102.74,,537.52
LMN,2011-03-27,77.33,0.00,0.00,81.00,,6.60,740.48,758.17,102.39,,538.44
LMN,2011-03-28,82.86,0.00,0.00,79.10,,6.64,748.21,759.83,101.55,,538.57
LMN,2011-03-29,78.74,0.00,0.00,80.00,,6.80,748.79,761.75,101.73,,537.99
LMN,2011-03-30,86.50,3.32,3.84,90.80,,7.05,748.10,763.83,102.10,,538.74
LMN,2011-03-31,111.91,11.44,10.22,110.40,,7.46,747.96,767.08,102.56,,538.57
LMN,2011-04-01,129.53,15.68,12.11,129.40,,7.89,744.66,774.00,103.95,,538.96
LMN,2011-04-02,135.27,28.15,20.81,133.80,,8.22,741.68,780.08,105.18,,537.96
LMN,2011-04-03,145.43,32.96,22.66,142.70,,8.13,751.94,811.13,107.87,,537.56
LMN,2011-04-04,125.24,26.44,21.11,127.10,,7.84,748.58,841.04,112.35,,537.48
LMN,2011-04-05,137.93,27.46,19.91,138.60,,7.68,745.99,844.54,113.21,,537.65
LMN,2011-04-06,144.41,33.37,23.11,143.40,,7.66,743.39,849.17,114.23,,537.58
