Project,Date,Outflow (kcfs),Spill (kcfs),Spill Percent (%),Inflow (kcfs),Temp (Scroll Case) (C),Temperature (C),Barometric Pressure (mmHg),Dissolved Gas (mmHg),Dissolved Gas Percent (%),Turbidity (ft),Elevation (ft)
LMN,1995-01-01,18.91,0.0,0.0,19.2,,,,,,,538.9
LMN,1995-01-02,14.3,0.0,0.0,15.5,,,,,,,539.1
LMN,1995-01-03,18.6,0.0,0.0,16.4,,,,,,,539.28
LMN,1995-01-04,19.09,0.0,0.0,21.6,,,,,,,538.98
LMN,1995-01-05,19.06,0.0,0.0,17.4,,,,,,,539.06
LMN,1995-01-06,15.82,0.0,0.0,16.5,,,,,,,538.92
LMN,1995-01-07,16.31,0.0,0.0,16.5,,,,,,,539.17
LMN,1995-01-08,21.0,0.0,0.0,22.3,,,,,,,539.21
LMN,1995-01-09,22.28,0.0,0.0,21.8,,,,,,,539.3
LMN,1995-01-10,21.85,0.0,0.0,21.9,,,,,,,539.41
LMN,1995-01-11,28.18,0.0,0.0,31.1,,,,,,,539.75
LMN,1995-01-12,42.24,0.0,0.0,39.0,,,,,,,539.76
LMN,1995-01-13,35.65,0.0,0.0,37.8,,,,,,,539.45
LMN,1995-01-14,48.15,0.0,0.0,47.2,,,,,,,539.63
LMN,1995-01-15,59.68,0.0,0.0,62.0,,,,,,,539.52
LMN,1995-01-16,57.38,0.0,0.0,56.1,,,,,,,539.49
LMN,1995-01-17,49.72,0.0,0.0,51.0,,,,,,,539.3
LMN,1995-01-18,44.46,0.0,0.0,42.1,,,,,,,539.29
LMN,1995-01-19,32.42,0.0,0.0,33.5,,,,,,,539.53
LMN,1995-01-20,32.69,0.0,0.0,33.5,,,,,,,539.6
LMN,1995-01-21,31.03,0.0,0.0,31.9,,,,,,,539.83
LMN,1995-01-22,31.12,0.0,0.0,31.1,,,,,,,539.88
LMN,1995-01-23,30.59,0.0,0.0,30.6,,,,,,,539.86
LMN,1995-01-24,30.49,0.0,0.0,30.5,,,,,,,539.81
LMN,1995-01-25,29.24,0.0,0.0,24.7,,,,,,,539.51
LMN,1995-01-26,28.17,0.0,0.0,27.6,,,,,,,538.89
LMN,1995-01-27,35.61,0.0,0.0,32.3,,,,,,,538.49
LMN,1995-01-28,25.71,0.0,0.0,24.8,,,,,,,537.81
LMN,1995-01-29,30.25,0.0,0.0,31.7,,,,,,,537.51
LMN,1995-01-30,24.31,0.0,0.0,24.0,,,,,,,537.58
LMN,1995-01-31,24.02,0.0,0.0,26.6,,,,,,,537.96
LMN,1995-02-01,40.08,0.0,0.0,43.0,,,,,,,538.59
LMN,1995-02-02,74.21,0.0,0.0,77.2,,,,,,,539.6
LMN,1995-02-03,82.18,0.0,0.0,83.0,,,,,,,539.61
LMN,1995-02-04,66.99,0.0,0.0,64.7,,,,,,,539.51
LMN,1995-02-05,54.84,0.0,0.0,55.6,,,,,,,539.36
LMN,1995-02-06,53.21,0.0,0.0,52.8,,,,,,,539.42
LMN,1995-02-07,46.18,0.0,0.0,47.8,,,,,,,539.65
LMN,1995-02-08,46.28,0.0,0.0,45.3,,,,,,,539.61
LMN,1995-02-09,46.4,2.58,5.55,45.6,,,,,,,539.49
LMN,1995-02-10,42.77,0.0,0.0,43.5,,,,,,,539.57
LMN,1995-02-11,42.15,0.0,0.0,41.7,,,,,,,539.66
LMN,1995-02-12,46.64,0.0,0.0,42.6,,,,,,,538.85
LMN,1995-02-13,44.23,0.0,0.0,44.9,,,,,,,538.52
LMN,1995-02-14,50.0,0.0,0.0,48.7,,,,,,,538.43
LMN,1995-02-15,46.26,0.0,0.0,44.3,,,,,,,537.87
LMN,1995-02-16,45.63,0.0,0.0,46.5,,,,,,,537.61
LMN,1995-02-17,48.83,0.0,0.0,48.4,,,,,,,537.62
LMN,1995-02-18,39.48,0.0,0.0,39.9,,,,,,,537.67
LMN,1995-02-19,48.93,0.0,0.0,49.9,,,,,,,537.87
LMN,1995-02-20,48.69,0.0,0.0,51.8,,,,,,,538.22
LMN,1995-02-21,55.86,0.0,0.0,57.8,,,,,,,538.92
LMN,1995-02-22,59.7,0.0,0.0,57.5,,,,,,,538.82
LMN,1995-02-23,58.21,0.0,0.0,58.9,,,,,,,539.27
LMN,1995-02-24,51.82,0.0,0.0,51.2,,,,,,,539.03
LMN,1995-02-25,51.28,0.0,0.0,50.7,,,,,,,538.85
LMN,1995-02-26,48.26,0.0,0.0,51.2,,,,,,,539.09
LMN,1995-02-27,51.32,0.0,0.0,51.8,,,,,,,539.4
LMN,1995-02-28,54.22,0.0,0.0,54.3,,,,,,,539.51
LMN,1995-03-01,51.5,1.75,3.39,51.2,,,,,,,539.57
LMN,1995-03-02,46.93,0.19,0.4,46.7,,,,,,,539.6
LMN,1995-03-03,49.31,0.41,0.83,49.4,,,,,,,539.58
LMN,1995-03-04,47.54,0.63,1.32,46.9,,,,,,,539.5
