Year,Species,SAR,PH,FTD,Transport
2021,CH,0.89,9,431.6,False
2021,CH,0.81,16,431.6,False
2021,CH,0.19,9,431.6,False
2021,CH,0.19,16,431.6,False
2021,CH,1.01,9,431.6,False
2021,CH,0.91,16,431.6,False
2021,CH,0.41,9,431.6,False
2021,CH,0.46,16,431.6,False
2021,CH,1.35,9,431.6,False
2021,CH,1.2,16,431.6,False
2021,CH,0.72,9,431.6,False
2021,CH,0.72,16,431.6,False
2021,CH,0.98,9,431.6,False
2021,CH,0.83,16,431.6,False
2020,CH,1.54,16,431.6,False
2020,CH,1.97,9,431.6,False
2020,ST,1.49,9,431.6,False
2020,ST,1.68,16,431.6,False
2020,ST,1.66,9,431.6,False
2020,ST,2.13,16,431.6,False
2020,ST,1.81,9,431.6,False
2020,ST,1.52,16,431.6,False
2020,ST,0.0,9,431.6,False
2020,ST,0.0,16,431.6,False
2020,ST,1.96,9,431.6,False
2020,ST,1.45,16,431.6,False
2020,CH,1.39,9,431.6,False
2020,CH,0.89,16,431.6,False
2020,CH,2.16,9,431.6,False
2020,CH,1.55,16,431.6,False
2020,ST,0.75,9,431.6,False
2020,ST,0.45,16,431.6,False
2020,CH,2.72,9,431.6,False
2020,CH,2.26,16,431.6,False
2020,ST,2.05,9,431.6,False
2020,ST,1.85,16,431.6,False
2020,CH,1.91,9,431.6,False
2020,CH,1.44,16,431.6,False
2020,ST,2.29,9,431.6,False
2020,ST,2.04,16,431.6,False
2020,CH,2.58,9,431.6,False
2020,CH,2.01,16,431.6,False
2020,ST,0.74,7,366.0,False
2020,ST,0.45,12,366.0,False
2020,CH,0.26,7,366.0,False
2020,CH,0.26,12,366.0,False
2020,CH,1.71,9,431.6,False
2020,CH,1.47,16,431.6,False
2019,CH,0.97,9,431.6,False
2019,CH,0.86,16,431.6,False
2019,ST,0.26,9,431.6,False
2019,ST,0.33,16,431.6,False
2019,ST,0.77,9,431.6,False
2019,ST,1.05,16,431.6,False
2019,ST,0.39,16,431.6,False
2019,ST,0.51,9,431.6,False
2019,ST,0.17,9,431.6,False
2019,ST,0.17,16,431.6,False
2019,ST,0.51,9,431.6,False
2019,ST,0.46,16,431.6,False
2019,CH,0.31,9,431.6,False
2019,CH,0.62,16,431.6,False
2019,CH,1.27,9,431.6,False
2019,CH,1.02,16,431.6,False
2019,ST,0.15,9,431.6,False
2019,ST,0.0,16,431.6,False
2019,CH,0.86,9,431.6,False
2019,CH,0.86,16,431.6,False
2019,ST,0.52,9,431.6,False
2019,ST,0.39,16,431.6,False
2019,CH,1.11,9,431.6,False
2019,CH,0.92,16,431.6,False
2019,ST,1.25,9,431.6,False
2019,ST,0.75,16,431.6,False
2019,CH,0.67,16,431.6,False
2019,CH,0.82,9,431.6,False
2019,ST,0.0,12,366.0,False
2019,ST,0.12,7,366.0,False
2019,CH,0.86,7,366.0,False
2019,CH,0.68,12,366.0,False
2019,CH,1.05,16,431.6,False
2019,CH,1.14,9,431.6,False
2018,CH,0.5,16,431.6,False
2018,CH,0.61,9,431.6,False
2018,ST,1.56,9,431.6,False
2018,ST,2.13,16,431.6,False
2018,ST,0.82,9,431.6,False
2018,ST,0.94,16,431.6,False
2018,ST,1.86,9,431.6,False
2018,ST,1.39,16,431.6,False
2018,ST,1.29,9,431.6,False
2018,ST,0.88,16,431.6,False
2018,ST,2.67,9,431.6,False
2018,ST,2.12,16,431.6,False
2018,CH,1.15,9,431.6,False
2018,CH,1.0,16,431.6,False
2018,CH,0.83,9,431.6,False
2018,CH,0.66,16,431.6,False
2018,ST,1.8,9,431.6,False
2018,ST,1.16,16,431.6,False
2018,CH,0.49,9,431.6,False
2018,CH,0.44,16,431.6,False
2018,ST,1.85,9,431.6,False
2018,ST,1.16,16,431.6,False
2018,CH,0.32,9,431.6,False
2018,CH,0.2,16,431.6,False
2018,ST,1.56,16,431.6,False
2018,ST,1.74,9,431.6,False
2018,CH,0.68,9,431.6,False
2018,CH,0.68,16,431.6,False
2018,ST,0.8,12,366.0,False
2018,ST,1.5,7,366.0,False
2018,CH,0.0,12,366.0,False
2018,CH,0.0,7,366.0,False
2018,CH,0.78,9,431.6,False
2018,CH,0.64,16,431.6,False
2017,CH,0.14,16,431.6,False
2017,CH,0.21,9,431.6,False
2017,ST,0.88,9,431.6,False
2017,ST,1.22,16,431.6,False
2017,ST,0.17,9,431.6,False
2017,ST,0.17,16,431.6,False
2017,ST,1.01,9,431.6,False
2017,ST,0.74,16,431.6,False
2017,ST,0.92,9,431.6,False
2017,ST,0.55,16,431.6,False
2017,ST,0.71,9,431.6,False
2017,ST,0.52,16,431.6,False
2017,CH,0.22,9,431.6,False
2017,CH,0.22,16,431.6,False
2017,CH,0.34,9,431.6,False
2017,CH,0.19,16,431.6,False
2017,ST,1.32,9,431.6,False
2017,ST,0.91,16,431.6,False
2017,CH,0.22,9,431.6,False
2017,CH,0.15,16,431.6,False
2017,ST,1.74,9,431.6,False
2017,ST,1.33,16,431.6,False
2017,CH,0.13,16,431.6,False
2017,CH,0.18,9,431.6,False
2017,ST,0.75,9,431.6,False
2017,ST,0.75,16,431.6,False
2017,CH,0.0,16,431.6,False
2017,CH,0.14,9,431.6,False
2017,ST,0.56,12,366.0,False
2017,ST,0.78,7,366.0,False
2017,CH,0.28,7,366.0,False
2017,CH,0.28,12,366.0,False
2017,CH,0.21,16,431.6,False
2017,CH,0.25,9,431.6,False
2016,CH,0.38,16,431.6,False
2016,CH,0.49,9,431.6,False
2016,ST,0.83,9,431.6,False
2016,ST,1.09,16,431.6,False
2016,ST,0.67,9,431.6,False
2016,ST,0.83,16,431.6,False
2016,ST,1.0,9,431.6,False
2016,ST,0.78,16,431.6,False
2016,ST,0.78,9,431.6,False
2016,ST,0.39,16,431.6,False
2016,ST,0.93,9,431.6,False
2016,ST,0.77,16,431.6,False
2016,CH,0.13,9,431.6,False
2016,CH,0.13,16,431.6,False
2016,CH,0.69,9,431.6,False
2016,CH,0.62,16,431.6,False
2016,ST,1.2,9,431.6,False
2016,ST,1.0,16,431.6,False
